Name,Profit_Margin
"Sinotruk Hong Kong",61.9174
"Electric Power Development",61.8276
"Guangzhou Rural Commercial Bank",61.8197
"Expedia Group",61.6031
"Alexandria Real Estate Equities",61.3667
"DGB Financial Group",61.3158
A2A,61.2826
"CapitaLand Investment",61.2727
"Sumitomo Forestry Co.,",61.0240
"SKF Group",60.9896
"China Power International Development",60.9677
"Insurance Australia Group",60.9286
"Kirin Holdings",60.9139
"Huntington Ingalls Industries",60.7759
"The Mosaic Company",60.5703
"Motor Oil",60.4931
"Robinhood Markets",60.4762
"Bank of Zhengzhou",60.4737
"West Japan Railway",60.4425
"Tata Power Company",60.3378
Ajinomoto,60.2500
"ENN Energy Holdings",59.7578
TDK,59.4690
"Latam Airlines",59.3852
"China Development Financial",59.0000
"Jinko Solar",58.8061
LKQ,58.5211
"Edison International",58.4756
"XCMG Construction Machinery",58.4109
"Japan Airlines",57.9561
"Vertiv Holdings",57.7143
"Bank of Queensland",57.5484
"Zhongyuan Bank",57.0633
Carvana,56.9643
"Hyundai Marine & Fire",56.2162
"Universal Health Services",55.5306
"Kuaishou Technology",55.1438
"China Reinsurance Group",55.0694
"EMCOR Group",54.8626
"Suntory Beverage & Food",54.5893
SÃ¼dzucker,54.2342
"Equatorial Energia",54.1585
Ferrovial,54.0543
"Ramsay Health Care",53.9906
"Transurban Group",53.8214
"Samsung SDS",53.7172
"Adris grupa d.d. Pref.",53.7108
"Tokyo Century",53.6452
"Guangzhou Baiyunshan Pharmaceutical Holdings",53.5327
Nidec,53.5309
"MGM Resorts",53.4790
"Rede D'Oro Luiz",53.4330
"Ally Financial",52.9630
"Brookfield Business",52.8351
"J.B. Hunt Transport Services",52.6400
"Tenaga Nasional",52.3534
"Barry Callebaut",52.2717
"Ag Anadolu Grubu Holding Anonim Sirketi",52.1772
"Vistra Energy",51.9863
"JA Solar Technology",51.8037
"China Resources Gas Group",51.7209
Autoliv,50.9434
AltaGas,50.5484
"Wharf (Holdings)",50.2917
Kyocera,50.2878
"Avenue Supermarts",50.2131
Datadog,50.1304
"Akzo Nobel",49.8783
"Bharti Airtel",49.8287
"GS Holdings",49.6528
SSE,49.5664
Corning,49.5161
"China Mengniu Dairy",49.1511
"Bluescope Steel",49.0348
Uniqa,48.8358
"US Steel",48.7079
"Sunshine Insurance Group",48.5909
"First Pacific",47.7524
"Wuestenrot & Wuerttembergische",47.7414
Amcor,47.3188
"Virgin Money UK",47.0600
"Public Power",47.0000
"BIM Birlesik Magazalar",46.9710
UPM-Kymmene,46.8571
"ENN Natural Gas",46.8200
"Asustek Computer",46.7325
"Sun Communities",46.3939
Pinterest,46.3125
Metro,46.3121
"Hellenic Petroleum",45.4043
"JDE Peet's",44.5843
"Grasim Industries",44.5033
Bunzl,44.4966
"Vienna Insurance Group",44.4925
"Toppan Printing",44.3534
"Thai Oil",43.9552
"Bank Of Gansu",43.6190
Kajima,43.2337
Leonardo,43.1152
"Kobe Steel",43.0455
"Daito Trust Construction",43.0417
"Pan Pacific International Holdings",42.2535
"The EstÃ©e Lauder Companies",41.8954
AES,41.8400
Sojitz,41.7246
"Hyundai Glovis",41.6954
Halkbank,41.6203
"Reinsurance Group of America",41.5459
"Berry Global Group",41.3115
"China CSSC Holdings",40.9115
"Sumitomo Metal Mining",40.5300
Rexel,40.4589
"KT ",40.4179
Kesko,40.3150
"Longi Green Energy Technology",40.2606
"H&M - Hennes & Mauritz",40.1719
Albemarle,40.1548
"Yuexiu Property ",40.1416
BorgWarner,40.1307
"China Huarong Asset Management",39.9811
"China Taiping Insurance",39.4483
"Sinotrans Ltd.",39.4097
"Booz Allen Hamilton Holding",39.4078
Brenntag,39.2260
"Trina Solar",39.0000
Nokia,38.9474
"Jacobs Solutions",38.8994
"Yes Bank",38.8000
"Grupo Elektra",38.7685
WSP,38.7407
Vivendi,38.4123
"Shanghai Tunnel Engineering Co. Ltd.",38.2430
Navient,38.0000
"Mirae Asset Financial Group",37.8824
Avantor,37.6812
TELUS,37.6216
"Chongqing Changan Auto",36.9760
"Asbury Automotive Group",36.8961
Voestalpine,36.7717
"Hangzhou Binjiang Real Estate Group Co., Ltd.",36.2970
"Jefferies Financial ",36.2738
"Sumitomo Mitsui Trust",36.2715
"Kao ",35.8879
"GD Power Development",35.8600
Ternium,35.8162
"Quanta Services",35.7209
STRABAG,35.6911
"T&D Holdings",35.3938
Prysmian,35.3865
Scor,35.2617
Labcorp,35.2114
"Crown Holdings",35.1695
"Burlington Stores",35.0103
"Grupo Bimbo",34.8465
"Iron Mountain",34.5893
"Guangzhou Automobile Group",34.4426
Aramark,34.2022
AutoNation,34.1667
"Takeda Pharmaceutical",33.7729
Gap,33.6913
"China Gas Holdings",33.5505
Tongwei,33.5460
Clorox,33.3333
Corteva,33.2738
"China Merchants Shekou Industrial Zone Holdings",33.0385
"Phoenix Holdings",32.9375
"Momentum Metropolitan Holdings",32.8971
"Penske Automotive",32.7736
"Formosa Chemicals",32.5566
"Jiangxi Bank",32.5484
"Metalurgica Gerdau",32.5299
"Casey's General Stores",32.2603
"Marks & Spencer",32.2532
Obayashi,32.2422
"Formosa Petrochemical",32.2207
"Old Mutual",32.1513
Acciona,31.7880
"Group 1 Automotive",31.7033
Danone,31.5652
"Huadian Power International",31.3742
Hera,31.1029
Storebrand,31.0412
"Henry Schein",31.0400
Uni-President,30.9485
"WESCO International",30.8243
"Adani Enterprises",30.8189
XPO,30.6329
"CBRE Group",30.6185
"China National Chemical",30.6111
"Grupo Comercial Chedraui SAB de CV Class B",30.4276
"Shandong Gold Mining",30.1310
"LG Innotek Co.,",30.1282
"Cosmo Energy Holdings",30.0265
"KION Group",29.9040
Nutrien,29.8375
"Hunan Valin Steel",29.6356
"DuPont De Nemours",29.5833
"Aluminum Corp of China",29.4984
"Vedanta Limited",29.4253
"Haitong Securities",29.2679
"AviChina Industry & Technology",29.2101
Skanska,29.1772
"Rogers Communications",29.1656
"Steel Authority of India",29.0930
CrowdStrike,28.8065
"Lithia Motors",28.6748
"Geely Automobile Holdings",28.6746
"Zhongsheng Group Holdings",28.1383
"Sabanci Holding",28.0346
Cosan,27.7342
"Guangdong Haid Group",27.6646
"Mitsubishi Chemical",27.2970
"Helvetia Holding",26.9316
M&G,26.7536
"Nan Ya Plastics",26.5875
Kingfisher,26.5556
"BJ's Wholesale Club",26.1850
"Zhuhai Huafa Properties",25.5222
Schaeffler,25.3807
"Coles Group",25.2652
"BÃ¢loise Group",25.1509
"Hertz Global Holdings",24.8936
Empire,24.6711
"Murphy USA",24.2488
"China Communications Services",24.1810
"Korea Shipbuilding & Offshore Engineering",24.1098
"WH Group ",24.0191
"Greentown China Holdings",23.8118
"Siam Cement",23.7801
"Deutsche Pfandbriefbank",23.7097
S-Oil,23.6691
TUI,23.4383
Avnet,23.1296
Taisei,22.8279
Lear,22.8178
"Arrow Electronics",22.7923
"Harbin Bank",22.5319
"Randstad N.V.",22.4907
"Jeronimo Martins",22.3410
"CP All",22.1583
"Huaneng Power International",21.9496
"ACS Actividades de Construccion y Servicios",21.8497
Block,21.7729
"Daou Technology",21.5070
"Shaanxi Construction Engineering Group",21.4792
Mapfre,21.4327
"Samvardhana Motherson International",21.2193
Umicore,21.1320
"Westlake Chemical",21.0656
"News Corp",21.0101
"Air France-KLM",20.8602
"Ultrapar Participacoes",20.7333
Whirlpool,20.7254
Leidos,20.4459
"Harel Insurance Investments & Financial Services",19.6269
Fluor,19.6129
"China Nuclear Engineering Corporation",19.3750
Saputo,19.2188
"Bank of Jiujiang",19.1613
"Guangdong Construction Engineering Group",19.1560
"Jardine Matheson",19.0556
"LG Chem",18.9500
Ricoh,18.8580
"Tongling Nonferrous Metals",18.5767
"Shengjing Bank",18.5614
"Aisin Seiki",18.4706
"MTN Group",18.4667
"China National Building",18.1946
"CP Axtra",18.1571
Kohl's,18.1143
"BOE Technology Group",18.0988
CarMax,18.0830
Raizen,18.0698
"Carnival Corporation",17.9204
Cleveland-Cliffs,17.7626
"Gilead Sciences",17.6642
Continental,17.6501
"C.H. Robinson",17.4195
"Hyundai Engineering",17.4057
"RiseSun Real Estate Development",17.2759
"TCL ",17.2387
"Anhui Construction Engineering Group",17.1870
"Canadian Tire Corporation",17.1557
"Norsk Hydro",16.9227
Wistron,16.5474
DCC,16.4618
"LS Corp",16.3696
"CJ Cheiljedang",16.1538
"Southwest Airlines",15.9551
Hanwa,15.8155
"China Resources Pharmaceutical Group",15.7681
"Lenovo Group",15.7271
"Asahi Kasei",15.6943
WestRock,15.6359
"BAIC Motor",15.5929
"Migdal Insurance",15.2400
Falabella,15.1221
"Aareal Bank",14.6452
"Ampol ",14.6386
"Jointown Pharmaceutical Group",14.4879
"Shanghai Pharmaceuticals",14.4049
"Bank of Greece",14.2667
"Iveco Group",14.1886
"Jones Lang LaSalle",14.1840
"US Foods",14.0556
Sasol,13.8322
"Kawasaki Heavy Industries",13.7109
ArcelorMittal,13.4905
Pegatron,13.4365
"Genworth Financial",13.2857
"WPG Holdings",13.1991
"Jiangxi Copper",12.9701
"Tianshan Material",12.8623
"Adecco Group",12.8527
"Lotte Shopping",12.6909
"Johnson Matthey",12.5376
"Midea Real Estate Holding",12.4857
Parkland,12.4310
Sodexo,12.3755
Suzuken,12.1636
Inventec,12.0778
"Medipal Holdings",11.6585
Cemex,11.6457
AGC,11.2500
"TD SYNNEX",11.1152
"Clal Insurance Enterprises ",11.0556
"Live Nation Entertainment",10.7735
"NIPPON EXPRESS HOLDINGS",10.7468
"Yunnan Copper Co. Ltd.",10.5049
Adient,10.3947
"Hyundai Steel",10.3731
"Alfresa Holdings",10.3232
"Rongsheng Petrochemical",10.2356
"International Paper",10.0541
Valeo,10.0378
"Digital China Group",9.8235
Aegon,9.8062
"Anglo American",9.8013
"Legal & General Group",9.6726
"American Airlines Group",9.3985
"Grupo Aval",9.1947
"Sumec Corporation",9.0311
Quilter,9.0000
"Compagnie de l'Odet",8.9865
"Toray Industries",8.9059
"Compal Electronics",8.7181
Shimizu,8.5396
"LG Electronics",8.4417
Forvia,8.3729
"China Steel",8.3621
HBIS,8.2515
"Astellas Pharma",8.0360
Cencosud,7.9746
AntarChile,7.9662
"New World Development",7.8925
"Emerson Electric",7.8182
"Sandoz Group",7.7778
"Korea Electric Power",7.6256
WPP,7.4162
"Performance Food Group",7.2328
Aurubis,7.1397
"Fosun International",7.1107
"WT Microelectronics",6.9151
"Daou Data",6.8533
Avolta,6.8380
"HD HYUNDAI",6.3867
Adidas,6.2094
"Beijing Shougang",6.1195
"CJ Corporation",6.0660
"Wuchan Zhongda Group",5.9485
"Hengyi Petrochemical ",5.8557
"Olam Group",5.7799
JBS,5.5660
"Shanghai Construction ",5.1034
Ceconomy,4.9917
"Ningbo Jintian Copper (Group)",4.9613
Aeon,4.6777
"Power Assets Holdings",4.6473
Macy's,4.3933
"Bajaj Holdings & Investment",4.2406
"J Sainsbury",4.1907
"Inner Mongolia Baotou Steel",4.1443
"SK Innovation ",4.0909
"Zheshang Development Group",3.3754
"Xiamen Xiangyu",3.3074
Telia,3.2941
"StoneX Group",3.1866
"Sichuan Chuantou Energy",3.1478
Industrivarden,3.0000
"Zhejiang Construction Investment Group",2.8800
Manpower,2.7258
"Xiamen International Trade Group",2.6911
"DiDi Global",2.5735
"Cardinal Health",2.5023
"Rajesh Exports",2.4065
"China International Marine",2.3763
"Investor AB",2.0541
ItaÃºsa,1.8000
"Jiangsu Eastern Shenghong",1.3452
"EnBW Energie Baden-Wurttemberg",1.3389
"World Fuel Services",1.2468
Gemdale,1.1680
"Cogent Communications",1.0909
Euronav,1.0909
"Porsche Automobil Holding",0.9649
EXOR,0.8929
"Jackson Financial",0.8889
"Schibsted ASA",0.8667
"Jio Financial Services",0.8652
"Schweizerische Nationalbank",0.8372
Eurazeo,0.8333
"VICI Properties",0.7027
Naspers,0.6721
"Altice USA",0.6630
"East Money Information  ",0.6111
"Qatar Islamic Bank",0.6000
"Evolution Gaming Group AB",0.6000
"Kweichow Moutai",0.5860
"Hong Kong Exchanges",0.5769
Keppel,0.5769
"CME Group",0.5714
Visa,0.5308
"Luzhou Lao Jiao",0.5263
"PTT Global Chemical",0.4916
NVIDIA,0.4893
AirBnB,0.4804
"International Holding Company",0.4682
BASF,0.4660
MSCI,0.4615
Mastercard,0.4591
"Partners Group Holding",0.4583
"Public Storage",0.4565
"Industries Qatar",0.4516
"Simon Property Group",0.4483
"AerCap Holdings",0.4459
"Mashreq Bank",0.4423
"Bank Central Asia",0.4400
"United Therapeutics",0.4400
"Wuliangye Yibin",0.4272
"Shanxi Xinghuacun Fen Wine Factory",0.4250
DLF,0.4245
"Kaspi.kz JSC",0.4222
"Altria Group",0.4146
"Adani Power Limited",0.4098
"Zall Smart Commerce Group",0.4091
UniCredit,0.4075
"Emaar Properties",0.3974
GoDaddy,0.3953
"Diebold Nixdorf",0.3947
"Vertex Pharmaceuticals",0.3922
Prologis,0.3902
Keyence,0.3881
"Taiwan Semiconductor",0.3818
"Arista Networks",0.3770
"National Grid",0.3701
"Diamondback Energy",0.3678
Shionogi,0.3667
"Novo Nordisk",0.3662
Microsoft,0.3643
"AIB Group",0.3607
"Abu Dhabi Islamic Bank",0.3590
"Shanghai International Port",0.3585
UBS,0.3555
"China Yangtze Power",0.3551
"CK Asset Holdings",0.3548
"Texas Instruments",0.3512
"Brookfield Renewable",0.3500
"Jiangsu Yanghe Brewery",0.3500
"Thomson Reuters",0.3478
"Henderson Land",0.3429
"Arch Capital Group",0.3404
"Shenzhen Mindray Bio-Medical Electronics",0.3400
"Power Grid of India",0.3393
"Sun Hung Kai Properties",0.3370
McDonald's,0.3333
Aena,0.3333
Copart,0.3333
"National Bank of Greece",0.3333
"Tourmaline Oil",0.3333
APA,0.3293
"Banca MPS",0.3284
Paychex,0.3269
"Canadian National Railway",0.3259
"The Saudi National Bank",0.3252
"HermÃ¨s International",0.3241
"ING Group",0.3224
"Meta Platforms",0.3210
"Turkish Airlines",0.3208
"Standard Bank Group",0.3205
"Saudi British Bank",0.3167
"EOG Resources",0.3149
"Dubai Islamic Bank",0.3148
"Martin Marietta Materials",0.3134
"NextEra Energy",0.3125
Novartis,0.3121
"Fortescue Metals Group",0.3118
"Bank Mandiri",0.3103
"Riyad Bank",0.3099
BlackRock,0.3089
"Al Rajhi Bank",0.3071
"Palo Alto Networks",0.3067
"Swire Pacific",0.3058
CNOOC,0.3049
"Bayan Resources",0.3030
Broadcom,0.2982
"Alinma Bank",0.2979
"Regeneron Pharmaceuticals",0.2977
"Public Bank",0.2941
ITC,0.2941
Nintendo,0.2931
"Beijing-Shanghai High-Speed Railway",0.2931
"Bank Pekao",0.2909
"Halyk Bank",0.2885
"Deutsche Boerse",0.2879
NetEase,0.2877
"China Merchants Bank",0.2875
DBS,0.2863
"Cheniere Energy",0.2849
"Canadian Pacific Kansas City",0.2843
Williams,0.2843
"T Rowe Price",0.2836
"Nongfu Spring",0.2833
"Emirates NBD",0.2822
