Name,market_value_in_dollars,assets_in_dollars,Difference
"Freddie Mac",962000000000,3000000000,959000000000
BayWa,932000000000,14300000000,917700000000
"Berkshire Hathaway",899100000000,1000000000,898100000000
"Japan Securities",907000000000,90800000000,816200000000
"Tokyo Kiraboshi Financial Group",848000000000,47500000000,800500000000
"Aichi Financial Group",838000000000,45100000000,792900000000
"Shengjing Bank",936000000000,152300000000,783700000000
"Deutsche Pfandbriefbank",837000000000,56200000000,780800000000
"Zheshang Development Group",782000000000,6500000000,775500000000
"Hertz Global Holdings",786000000000,24300000000,761700000000
"China Fortune Land Development",775000000000,48300000000,726700000000
"CIFI Holdings Group",721000000000,42500000000,678500000000
"Zenith Bank",690000000000,18600000000,671400000000
"Eli Lilly",731800000000,63900000000,667900000000
"United Natural Foods",666000000000,7700000000,658300000000
"Nanto Bank",685000000000,44800000000,640200000000
"Bank Of Gansu",676000000000,54800000000,621200000000
"Guangzhou R&F",640000000000,47200000000,592800000000
"Keiyo Bank",634000000000,43300000000,590700000000
"Zall Smart Commerce Group",598000000000,9000000000,589000000000
JPMorganChase,588100000000,4000000000,584100000000
"Daou Technology",620000000000,39900000000,580100000000
"Shimao Property Holdings",641000000000,76600000000,564400000000
"Toho Bank",602000000000,44700000000,557300000000
"Logan Property Holdings",588000000000,35000000000,553000000000
"Jiangxi Bank",618000000000,77900000000,540100000000
"Top Frontier Investment Holdings",586000000000,47100000000,538900000000
"Novo Nordisk",581100000000,43300000000,537800000000
"Ogaki Kyoritsu Bank",569000000000,43900000000,525100000000
"Mercuries & Associates",549000000000,50000000000,499000000000
"Taiwan Semiconductor",672000000000,180900000000,491100000000
"United Bank for Africa",501000000000,19400000000,481600000000
Broadcom,646600000000,177900000000,468700000000
Visa,560500000000,92400000000,468100000000
Tesla,566000000000,109200000000,456800000000
HPB,493000000000,55000000000,438000000000
Mastercard,427900000000,42600000000,385300000000
"Harbin Bank",465000000000,114800000000,350200000000
"ASML Holding",365000000000,42200000000,322800000000
"Basler Kantonalbank",370000000000,62600000000,307400000000
"Bank of America",307300000000,3000000000,304300000000
"Daou Data",340000000000,40300000000,299700000000
"Costco Wholesale",352900000000,66300000000,286600000000
"Procter & Gamble",395700000000,119600000000,276100000000
Walmart,521100000000,254100000000,267000000000
"Jiangsu Zhongnan Construction Group",297000000000,30600000000,266400000000
"LVMH MoÃ«t Hennessy Louis Vuitton",423900000000,158700000000,265200000000
"The Home Depot",341100000000,79200000000,261900000000
"Kweichow Moutai",298200000000,39500000000,258700000000
"Tencent Holdings",472300000000,227800000000,244500000000
"HermÃ¨s International",261400000000,22600000000,238800000000
"Merck & Co.",332300000000,105800000000,226500000000
Netflix,267700000000,48800000000,218900000000
"Wells Fargo",212900000000,1000000000,211900000000
ICBC,215200000000,6000000000,209200000000
L'OrÃ©al,260300000000,57300000000,203000000000
Oracle,339400000000,137100000000,202300000000
"Johnson & Johnson",372200000000,172000000000,200200000000
"UnitedHealth Group",482900000000,284200000000,198700000000
"Advanced Micro Devices",265800000000,67900000000,197900000000
Adobe,216600000000,28800000000,187800000000
"China Construction Bank",187500000000,5000000000,182500000000
Salesforce,277100000000,102800000000,174300000000
Coca-Cola,271500000000,99400000000,172100000000
"Agricultural Bank of China",170900000000,5000000000,165900000000
"HSBC Holdings",166400000000,3000000000,163400000000
Qualcomm,216300000000,53200000000,163100000000
"Morgan Stanley",162900000000,1000000000,161900000000
ExxonMobil,536700000000,377900000000,158800000000
Intuit,185100000000,29700000000,155400000000
PepsiCo,250500000000,100000000000,150500000000
"Goldman Sachs Group",150800000000,1000000000,149800000000
RBC,150400000000,1000000000,149400000000
"Tata Consultancy Services",166500000000,17600000000,148900000000
"International Holding Company",239500000000,92200000000,147300000000
SAP,224700000000,78800000000,145900000000
"PDD Holdings",194200000000,49100000000,145100000000
AbbVie,293900000000,148900000000,145000000000
"Applied Materials",176200000000,31900000000,144300000000
McDonald's,196400000000,53500000000,142900000000
"Texas Instruments",177600000000,34900000000,142700000000
"Bank of China",145700000000,4000000000,141700000000
Accenture,190900000000,51300000000,139600000000
ServiceNow,156800000000,17500000000,139300000000
AstraZeneca,238400000000,102300000000,136100000000
Unilever,216800000000,83100000000,133700000000
"Thermo Fisher Scientific",227200000000,97100000000,130100000000
Linde,207900000000,80300000000,127600000000
"China Merchants Bank",127400000000,1000000000,126400000000
"Intuitive Surgical",141500000000,15800000000,125700000000
NestlÃ©,272100000000,150400000000,121700000000
Citigroup,122200000000,2000000000,120200000000
"Mitsubishi UFJ Financial",117200000000,2000000000,115200000000
Danaher,196900000000,83400000000,113500000000
Allianz,113800000000,1000000000,112800000000
Blackstone,151900000000,39700000000,112200000000
Inditex,146100000000,35600000000,110500000000
"Abbott Laboratories",181100000000,72500000000,108600000000
Novartis,201400000000,94300000000,107100000000
"Zhongliang Holdings ",131000000000,25500000000,105500000000
"Ping An Insurance Group",105500000000,1000000000,104500000000
Nike,139100000000,37400000000,101700000000
"Roche Holding",208400000000,107500000000,100900000000
"Lam Research",119200000000,18300000000,100900000000
"TD Bank Group",101500000000,1000000000,100500000000
"Booking Holdings",125800000000,27700000000,98100000000
Uber,137200000000,39600000000,97600000000
UBS,97400000000,1000000000,96400000000
Keyence,113700000000,19600000000,94100000000
"Cisco Systems",195100000000,101200000000,93900000000
Eaton,132000000000,38500000000,93500000000
"Tokyo Electron",107500000000,16200000000,91300000000
"Vertex Pharmaceuticals",114900000000,23900000000,91000000000
Caterpillar,174200000000,83700000000,90500000000
"Philip Morris International",155200000000,65300000000,89900000000
"Arista Networks",100200000000,10600000000,89600000000
Lowe's,132200000000,43400000000,88800000000
Stryker,127500000000,39400000000,88100000000
"BNP Paribas",88900000000,2000000000,86900000000
KLA,100700000000,15000000000,85700000000
"Palo Alto Networks",102700000000,18300000000,84400000000
"TJX Cos",113600000000,29700000000,83900000000
"Union Pacific",149500000000,67300000000,82200000000
Santander,82100000000,1000000000,81100000000
"Sumitomo Mitsui Financial",80900000000,1000000000,79900000000
"Chipotle Mexican Grill",88300000000,8400000000,79900000000
"S&P Global",138300000000,60500000000,77800000000
CrowdStrike,84100000000,6600000000,77500000000
Synopsys,86500000000,10600000000,75900000000
Amgen,167600000000,93000000000,74600000000
"ACWA Power",89700000000,15300000000,74400000000
"Schneider Electric",139100000000,65100000000,74000000000
"Intesa Sanpaolo Assicura",74800000000,1000000000,73800000000
"Regeneron Pharmaceuticals",108200000000,34400000000,73800000000
"Boston Scientific",109700000000,36700000000,73000000000
"Micron Technology",138700000000,65700000000,73000000000
"Cadence Design",78600000000,5700000000,72900000000
"Atlas Copco",90000000000,18600000000,71400000000
MercadoLibre,88700000000,19100000000,69600000000
"Honeywell International",134100000000,65600000000,68500000000
AirBnB,92500000000,24500000000,68000000000
Ferrari,76000000000,9300000000,66700000000
Zoetis,79400000000,14300000000,65100000000
Shopify,75300000000,11100000000,64200000000
RELX,82000000000,19000000000,63000000000
Amphenol,79200000000,16700000000,62500000000
"London Stock Exchange",62800000000,1000000000,61800000000
Cintas,70200000000,9000000000,61200000000
Colgate-Palmolive,77200000000,16600000000,60600000000
Moody's,75600000000,15000000000,60600000000
"United Parcel Service",127700000000,67600000000,60100000000
"Nongfu Spring",66900000000,6900000000,60000000000
"Illinois Tool Works",74800000000,15700000000,59100000000
"Wuliangye Yibin",84000000000,25000000000,59000000000
Starbucks,88200000000,29400000000,58800000000
"Bank of Greece",309000000000,250200000000,58800000000
"Thomson Reuters",77200000000,18800000000,58400000000
"Bank of Communications",59200000000,1000000000,58200000000
"Bank of Nova Scotia",59200000000,1000000000,58200000000
"Meituan ",100000000000,41900000000,58100000000
"Analog Devices",106200000000,48400000000,57800000000
"Fast Retailing",80900000000,23400000000,57500000000
"Lockheed Martin",111900000000,55000000000,56900000000
"Postal Savings Bank Of China (PSBC)",58100000000,2000000000,56100000000
"Marsh McLennan",103500000000,47600000000,55900000000
Sherwin-Williams,79200000000,23400000000,55800000000
"Recruit Holdings ",76500000000,20800000000,55700000000
ABB,96700000000,41100000000,55600000000
Infosys,71900000000,16500000000,55400000000
"Trane Technologies",74400000000,19300000000,55100000000
"ING Group",55900000000,1000000000,54900000000
ITC,65400000000,10500000000,54900000000
CSL,90500000000,37300000000,53200000000
"Air Liquide",105600000000,53400000000,52200000000
"BHP Group",152100000000,100000000000,52100000000
Workday,68500000000,16500000000,52000000000
"Waste Management",84400000000,32700000000,51700000000
"TransDigm Group",72300000000,21600000000,50700000000
"Mizuho Financial",51100000000,1000000000,50100000000
"Industrial Bank ",50900000000,1000000000,49900000000
"Spotify Technology",59100000000,9800000000,49300000000
Richemont,94400000000,46100000000,48300000000
"Motorola Solutions",61300000000,13300000000,48000000000
ConocoPhillips,142300000000,95300000000,47000000000
"Credit Agricole",48300000000,2000000000,46300000000
"Monster Beverage",56400000000,10100000000,46300000000
Snowflake,54100000000,8200000000,45900000000
"Constellation Software",57600000000,11900000000,45700000000
DexCom,52200000000,6500000000,45700000000
Ecolab,66700000000,21300000000,45400000000
"O'Reilly Automotive",59600000000,14200000000,45400000000
"Daiichi Sankyo",68200000000,22900000000,45300000000
"NXP Semiconductors",68500000000,23300000000,45200000000
"Shenzhen Mindray Bio-Medical Electronics",51700000000,7000000000,44700000000
Copart,52400000000,8000000000,44400000000
Equinix,75900000000,31900000000,44000000000
"Edwards Lifesciences",53700000000,9700000000,44000000000
"Chandra Asri Petrochemical",49300000000,5400000000,43900000000
"Palantir Technologies",48500000000,4800000000,43700000000
"Lloyds Banking Group",44400000000,1000000000,43400000000
"Super Micro Computer",52000000000,8900000000,43100000000
Nintendo,63700000000,20800000000,42900000000
"Altria Group",79100000000,36500000000,42600000000
"Universal Music Group",57200000000,14600000000,42600000000
"Marriott International",67900000000,25800000000,42100000000
Atlassian,46800000000,5100000000,41700000000
"Trade Desk",46400000000,4700000000,41700000000
"IDEXX Laboratories",44900000000,3400000000,41500000000
"Shin-Etsu Chemical",75000000000,34000000000,41000000000
"Marvell Technology",62200000000,21200000000,41000000000
Parker-Hannifin,70100000000,29600000000,40500000000
Barclays,41200000000,1000000000,40200000000
Fortinet,46900000000,7700000000,39200000000
"Oriental Land",48200000000,9000000000,39200000000
"Automatic Data Processing",103300000000,64200000000,39100000000
NetEase,65000000000,26200000000,38800000000
"Samsung Electronics",388000000000,349800000000,38200000000
"Bharti Airtel",91500000000,53300000000,38200000000
Chevron,299800000000,261700000000,38100000000
Safran,93800000000,55700000000,38100000000
"WW Grainger",46400000000,8400000000,38000000000
"Dassault Systemes",54000000000,16200000000,37800000000
Autodesk,47700000000,9900000000,37800000000
"Shanxi Xinghuacun Fen Wine Factory",44500000000,7000000000,37500000000
MediaTek,57500000000,20200000000,37300000000
"Bayan Resources",39600000000,2900000000,36700000000
"PT Amman Mineral Internasional",46600000000,9900000000,36700000000
DoorDash,48000000000,11400000000,36600000000
Datadog,40200000000,4100000000,36100000000
EssilorLuxottica,102600000000,66900000000,35700000000
"DISCO Corp.",39100000000,3700000000,35400000000
"Hilton Worldwide Holdings",51100000000,15900000000,35200000000
"Microchip Technology",51000000000,15900000000,35100000000
"Lululemon Athletica",42200000000,7100000000,35100000000
Hoya,42700000000,8000000000,34700000000
MSCI,40000000000,5500000000,34500000000
"Sun Pharma Industries",44100000000,9600000000,34500000000
"Agilent Technologies",45200000000,10900000000,34300000000
Moderna,50900000000,16700000000,34200000000
"Old Dominion Freight Line",39800000000,5700000000,34100000000
"Avenue Supermarts",36600000000,2500000000,34100000000
AutoZone,50500000000,16700000000,33800000000
"China Citic Bank",34700000000,1000000000,33700000000
"Yum! Brands",39900000000,6200000000,33700000000
Progressive,122500000000,88900000000,33600000000
Fastenal,38000000000,4500000000,33500000000
Wesfarmers,51900000000,18600000000,33300000000
"Fair Isaac",34900000000,1700000000,33200000000
"Jiangsu Hengrui Medicine",39300000000,6400000000,32900000000
"Monolithic Power Systems",35500000000,2600000000,32900000000
"Deutsche Bank",33600000000,1000000000,32600000000
"Shanghai Pudong Development",33200000000,1000000000,32200000000
Diageo,79000000000,46800000000,32200000000
Paychex,45200000000,13000000000,32200000000
"Titan (India)",35800000000,3800000000,32000000000
Sika,49800000000,18100000000,31700000000
HCLTech,43400000000,12000000000,31400000000
"Verisk Analytics",35900000000,4500000000,31400000000
Adyen,41900000000,10600000000,31300000000
"Public Storage",50700000000,19600000000,31100000000
Experian,42800000000,11700000000,31100000000
CITIC,31900000000,1000000000,30900000000
TAQA,88800000000,58000000000,30800000000
"Partners Group Holding",36000000000,5700000000,30300000000
"EOG Resources",74700000000,44800000000,29900000000
"ASM International",34800000000,4900000000,29900000000
"The Hershey Company",41900000000,12400000000,29500000000
"Otis Worldwide",39100000000,9800000000,29300000000
Givaudan,42500000000,13200000000,29300000000
"Mettler-Toledo International",32500000000,3300000000,29200000000
"Ross Stores",44400000000,15300000000,29100000000
"Luzhou Lao Jiao",38500000000,9500000000,29000000000
"Asian Paints",32300000000,3600000000,28700000000
"Vertiv Holdings",36200000000,7600000000,28600000000
HubSpot,31400000000,3200000000,28200000000
"Gilead Sciences",84400000000,56300000000,28100000000
Kimberly-Clark,45200000000,17100000000,28100000000
"Veeva Systems",34000000000,5900000000,28100000000
"Roper Technologies",58000000000,30000000000,28000000000
"Wolters Kluwer",38300000000,10300000000,28000000000
"Republic Services",59300000000,31400000000,27900000000
"Goodman Group",43600000000,15700000000,27900000000
"HCA Healthcare",84600000000,57000000000,27600000000
"EQT AB",37800000000,10200000000,27600000000
"Canadian National Railway",81000000000,53500000000,27500000000
Gartner,35000000000,7700000000,27300000000
Ferguson,42700000000,15700000000,27000000000
"General Dynamics",82000000000,55200000000,26800000000
"CoStar Group",35700000000,9000000000,26700000000
"Japan Post Holdings",27600000000,1000000000,26600000000
"Canadian Natural Resources",82600000000,56100000000,26500000000
"Compass Group",48800000000,22400000000,26400000000
Coupang,41100000000,14900000000,26200000000
WEG,32500000000,6400000000,26100000000
"Merck KGaA, Darmstadt, Germany and its affiliates",79100000000,53500000000,25600000000
"The EstÃ©e Lauder Companies",48300000000,22700000000,25600000000
"Fortescue Metals Group",55400000000,29900000000,25500000000
ResMed,32100000000,6800000000,25300000000
"Novonesis A/S",29500000000,4200000000,25300000000
Pinterest,29000000000,3700000000,25300000000
Hikvision,43500000000,18300000000,25200000000
"Bajaj Auto",29400000000,4700000000,24700000000
"Dell Technologies",106700000000,82100000000,24600000000
Adidas,44500000000,19900000000,24600000000
Garmin,32800000000,8600000000,24200000000
"Adani Green Energy",34800000000,10600000000,24200000000
"American Tower",90800000000,66700000000,24100000000
"Waste Connections",43200000000,19100000000,24100000000
"Foshan Haitian Flavouring and Food",29200000000,5100000000,24100000000
MongoDB,27000000000,2900000000,24100000000
Hess,48700000000,24700000000,24000000000
Freeport-McMoRan,77900000000,54200000000,23700000000
Ametek,38600000000,14900000000,23700000000
"Howmet Aerospace",33900000000,10400000000,23500000000
"TE Connectivity",46200000000,22800000000,23400000000
Lasertec,25100000000,1700000000,23400000000
Medtronic,114100000000,90800000000,23300000000
"Quanta Services",38700000000,15500000000,23200000000
"Dr. Sulaiman Al-Habib Medical Services Group",27700000000,4500000000,23200000000
Zscaler,26800000000,3900000000,22900000000
CSX,65500000000,42700000000,22800000000
Aon,63600000000,40800000000,22800000000
Cloudflare,25600000000,2800000000,22800000000
"Reliance Industries",233100000000,210500000000,22600000000
"Adani Enterprises",41900000000,19300000000,22600000000
"Air Products & Chemicals",58400000000,35900000000,22500000000
Heico,29800000000,7300000000,22500000000
"West Pharmaceutical Services",25900000000,3600000000,22300000000
"Contemporary Amperex Technology",123300000000,101200000000,22100000000
"Ingersoll Rand",37400000000,15500000000,21900000000
Advantest,26300000000,4400000000,21900000000
"Northrop Grumman",69600000000,47800000000,21800000000
"Lonza Group",42100000000,20300000000,21800000000
AppLovin,27100000000,5300000000,21800000000
"Varun Beverages",23600000000,1800000000,21800000000
MicroStrategy,28100000000,6400000000,21700000000
SLB,69500000000,47900000000,21600000000
Ansys,28600000000,7200000000,21400000000
"Tractor Supply",30800000000,9600000000,21200000000
Beiersdorf,35200000000,14100000000,21100000000
"Constellation Brands",46700000000,25700000000,21000000000
Dollarama,25400000000,4400000000,21000000000
"Airports of Thailand",26400000000,5400000000,21000000000
Coloplast,27900000000,7000000000,20900000000
"Infineon Technologies",52200000000,31400000000,20800000000
"Electronic Arts",34200000000,13400000000,20800000000
Samsara,22500000000,1700000000,20800000000
"Vulcan Materials",34300000000,13900000000,20400000000
"Adani Ports & Special Economic Zone",34600000000,14300000000,20300000000
"Celsius Holdings",21700000000,1600000000,20100000000
SMC,33800000000,13800000000,20000000000
"Abb India",21300000000,1300000000,20000000000
"SociÃ©tÃ© GÃ©nÃ©rale",20900000000,1000000000,19900000000
"SK Hynix",96500000000,76700000000,19800000000
"Wisetech Global",21700000000,1900000000,19800000000
"Martin Marietta Materials",35800000000,16200000000,19600000000
Rollins,22300000000,2700000000,19600000000
"Deckers Outdoor",22800000000,3300000000,19500000000
Kone,28400000000,9000000000,19400000000
"Rockwell Automation",30800000000,11400000000,19400000000
"Amadeus IT Group ",31400000000,12100000000,19300000000
Snap,26500000000,7200000000,19300000000
"Anta Sports Products",32100000000,13000000000,19100000000
"United Rentals",45700000000,26700000000,19000000000
"Saudi Arabian Mining",49100000000,30100000000,19000000000
"Kuehne & Nagel International",32300000000,13400000000,18900000000
Xylem,34700000000,15900000000,18800000000
Target,74100000000,55400000000,18700000000
"Wheaton Precious Metals",25900000000,7200000000,18700000000
Veralto,24300000000,5700000000,18600000000
Franco-Nevada,24700000000,6100000000,18600000000
"Keysight Technologies",27500000000,9100000000,18400000000
Equifax,30700000000,12300000000,18400000000
"Adani Power Limited",29400000000,11100000000,18300000000
"Emerson Electric",64600000000,46400000000,18200000000
"Axon Enterprise",21800000000,3600000000,18200000000
IBM,155300000000,137200000000,18100000000
"Xiaomi  ",63800000000,45700000000,18100000000
GSK,91900000000,73900000000,18000000000
"Carrier Global",58800000000,40800000000,18000000000
"ON Semiconductor Corp.",31500000000,13500000000,18000000000
DLF,25200000000,7200000000,18000000000
"Mondelez International",95500000000,77600000000,17900000000
"Evolution Gaming Group AB",23300000000,5400000000,17900000000
"Lindt & Sprungli",27300000000,9500000000,17800000000
"Liberty Media Corporation Series A Liberty Formula One",28300000000,10600000000,17700000000
NVR,24000000000,6500000000,17500000000
arGEN-X,22000000000,4500000000,17500000000
"Kuaishou Technology",32400000000,15000000000,17400000000
"Church & Dwight",26000000000,8600000000,17400000000
"Bharat Electronics Limited",21800000000,4400000000,17400000000
Epiroc,24600000000,7300000000,17300000000
"Zhangzhou Pientzehuang Pharmaceutical",19800000000,2500000000,17300000000
"Straumann Holding",21300000000,4000000000,17300000000
DraftKings,21100000000,3800000000,17300000000
"Couche Tard",53400000000,36200000000,17200000000
Teradyne,20600000000,3400000000,17200000000
"EMS-Chemie Holding",19700000000,2600000000,17100000000
CDW,30100000000,13200000000,16900000000
"Grupo Mexico",52600000000,35800000000,16800000000
Waters,21100000000,4500000000,16600000000
"Tradeweb Markets",24000000000,7400000000,16600000000
Geberit,20600000000,4200000000,16400000000
"Canadian Pacific Kansas City",76600000000,60300000000,16300000000
"China Minsheng Bank",17200000000,1000000000,16200000000
"Larsen & Toubro",56900000000,40700000000,16200000000
"Domino's Pizza",17900000000,1700000000,16200000000
Welltower,60600000000,44600000000,16000000000
Cameco,23000000000,7000000000,16000000000
"Erie Indemnity",18500000000,2600000000,15900000000
PTC,22100000000,6200000000,15900000000
Cognizant,34200000000,18400000000,15800000000
"Broadridge Financial",24000000000,8200000000,15800000000
"Rio Tinto",119200000000,103500000000,15700000000
"D.R. Horton",49900000000,34400000000,15500000000
IQVIA,42100000000,26600000000,15500000000
"Shenzhen Inovance Technology",22500000000,7000000000,15500000000
"Elevance Health",127300000000,111900000000,15400000000
Fanuc,28000000000,12700000000,15300000000
VeriSign,17000000000,1700000000,15300000000
Paccar,55600000000,40400000000,15200000000
"Constellation Energy",67200000000,52000000000,15200000000
"Daikin Industries",47300000000,32200000000,15100000000
Wipro,28900000000,13800000000,15100000000
"Schindler Holding",28300000000,13400000000,14900000000
"Simon Property Group",48500000000,33700000000,14800000000
Watsco,19200000000,4400000000,14800000000
Roblox,21100000000,6300000000,14800000000
"Murata Manufacturing",34800000000,20100000000,14700000000
Brown-Forman,22900000000,8200000000,14700000000
Williams-Sonoma,19900000000,5300000000,14600000000
"Lennox International",17500000000,3000000000,14500000000
Hubbell,21100000000,6900000000,14200000000
"Align Technology",20400000000,6200000000,14200000000
"Becton Dickinson",68300000000,54200000000,14100000000
Genmab,19400000000,5300000000,14100000000
Celltrion,29100000000,15000000000,14100000000
"Zijin Mining Group",63200000000,49200000000,14000000000
Alcon,43600000000,29600000000,14000000000
"NARI Technology Development",25500000000,11500000000,14000000000
Terumo,26000000000,12100000000,13900000000
"Anhui Gujing Distillery",19500000000,5600000000,13900000000
"Las Vegas Sands",35000000000,21200000000,13800000000
"Chunghwa Telecom",30300000000,16500000000,13800000000
"NAURA Technology GroupLtd",21400000000,7800000000,13600000000
NetApp,22800000000,9400000000,13400000000
Dover,25300000000,12000000000,13300000000
"Carlisle Cos",19900000000,6600000000,13300000000
"Booz Allen Hamilton Holding",19800000000,6500000000,13300000000
"Moncler SpA",18800000000,5500000000,13300000000
"T Rowe Price",26100000000,12900000000,13200000000
Sysco,37800000000,24700000000,13100000000
"FactSet Research Systems",17100000000,4000000000,13100000000
"Take-Two Interactive Software",25200000000,12200000000,13000000000
"Ulta Beauty",19200000000,6300000000,12900000000
"Seagate Technology",20000000000,7100000000,12900000000
"Aristocrat Leisure",19600000000,6800000000,12800000000
"Techtronic Industries",25100000000,12400000000,12700000000
"Sonova Holding",19100000000,6400000000,12700000000
"Goneo GroupClass A",15500000000,2900000000,12600000000
"Assa Abloy",32100000000,19600000000,12500000000
CGI,24100000000,11600000000,12500000000
STMicroelectronics,37200000000,25000000000,12200000000
Legrand,28700000000,16500000000,12200000000
"Flutter Entertainment",36600000000,24400000000,12200000000
"Expeditors International",16700000000,4500000000,12200000000
"Aier Eye Hospital Group",16500000000,4300000000,12200000000
Kenvue,39200000000,27300000000,11900000000
Steris,23000000000,11100000000,11900000000
"Nu Holdings",55600000000,43800000000,11800000000
Rheinmetall,24200000000,12500000000,11700000000
"Latour Ab Investment",17600000000,5900000000,11700000000
"Check Point Software",17100000000,5500000000,11600000000
Globalfoundries,30000000000,18500000000,11500000000
Unicharm,19200000000,7700000000,11500000000
"BAE Systems",52300000000,40900000000,11400000000
"InterGlobe Aviation",20200000000,8800000000,11400000000
Prada,19800000000,8400000000,11400000000
"SBA Communications",21400000000,10000000000,11400000000
Capgemini,38600000000,27300000000,11300000000
"Hexagon ",29700000000,18400000000,11300000000
"InterContinental Hotels",16100000000,4800000000,11300000000
"Delta Electronics",26000000000,14800000000,11200000000
"Galaxy Entertainment",22400000000,11200000000,11200000000
"GE Aerospace",175000000000,163900000000,11100000000
"Quanta Computer",34200000000,23100000000,11100000000
"EMCOR Group",17800000000,6700000000,11100000000
GoDaddy,19100000000,8000000000,11100000000
"CBOE Global Markets",19300000000,8200000000,11100000000
"Westinghouse Air Brake Technologies",29700000000,18700000000,11000000000
Clorox,16800000000,5800000000,11000000000
IDEX,16800000000,5900000000,10900000000
