Name,market_value_in_dollars,assets_in_dollars,Difference
Prologis,104100000000,93300000000,10800000000
"Brown & Brown",25600000000,14800000000,10800000000
Borouge,20000000000,9200000000,10800000000
"Alfa Laval",18700000000,8000000000,10700000000
"Haidilao International Holding",14200000000,3500000000,10700000000
"H&M - Hennes & Mauritz",27300000000,16800000000,10500000000
"Jiangsu Yanghe Brewery",20400000000,10000000000,10400000000
"Logitech International",14000000000,3600000000,10400000000
CRH,56600000000,46300000000,10300000000
"First Solar",21100000000,10800000000,10300000000
Nordson,15500000000,5200000000,10300000000
"Norfolk Southern",52300000000,42100000000,10200000000
Masco,15500000000,5300000000,10200000000
"Ashtead Group",31900000000,21800000000,10100000000
"Focus Media Information Technology",13600000000,3500000000,10100000000
Antofagasta,29600000000,19600000000,10000000000
"Zoom Video Communications",19900000000,9900000000,10000000000
Sandvik,26800000000,16900000000,9900000000
"Avery Dennison",18200000000,8300000000,9900000000
"Renesas Electronics",31200000000,21400000000,9800000000
Aena,29200000000,19400000000,9800000000
"Jio Financial Services",27200000000,17400000000,9800000000
"Nomura Research Institute",15900000000,6100000000,9800000000
Fortive,27200000000,17500000000,9700000000
"Seres Group",18400000000,8700000000,9700000000
"PPG ",31500000000,21900000000,9600000000
DSV,31400000000,22000000000,9400000000
"A.O. Smith",12600000000,3200000000,9400000000
"General Mills",40200000000,30900000000,9300000000
Pandora,12800000000,3500000000,9300000000
"Mahindra & Mahindra",37500000000,28300000000,9200000000
"Builders FirstSource",20400000000,11200000000,9200000000
"Sungrow Power Supply  ",20900000000,11700000000,9200000000
"Industries Qatar",20000000000,10800000000,9200000000
EXOR,23900000000,14800000000,9100000000
"Kao ",20800000000,11700000000,9100000000
Block,44600000000,35600000000,9000000000
"LPL Financial Holdings",20000000000,11000000000,9000000000
"ICON (Ireland)",26000000000,17000000000,9000000000
Halliburton,33600000000,24700000000,8900000000
"3i Group",36200000000,27300000000,8900000000
"Kingspan Group PLC",17700000000,8800000000,8900000000
SGS,16800000000,8000000000,8800000000
Hologic,17500000000,8700000000,8800000000
"China Tourism Group Duty Free ",19800000000,11100000000,8700000000
"Shenzhen Transsion Holding",15300000000,6600000000,8700000000
"Shenzhou International Group Holdings",15600000000,6900000000,8700000000
"China Yangtze Power",87300000000,78700000000,8600000000
"J.B. Hunt Transport Services",17000000000,8400000000,8600000000
PulteGroup,25000000000,16500000000,8500000000
Next,14500000000,6000000000,8500000000
UCB,25700000000,17200000000,8500000000
"KE Holdings",25400000000,17000000000,8400000000
Olympus,18400000000,10100000000,8300000000
"RPM International",14600000000,6400000000,8200000000
Ajinomoto,19800000000,11700000000,8100000000
"Novatek Microelectronics Corp.",11400000000,3400000000,8000000000
"Saudi Telecom",50500000000,42600000000,7900000000
"Luxshare Precision Industry",31500000000,23600000000,7900000000
"Warner Music Group",16600000000,8700000000,7900000000
"Kaspi.kz JSC",23200000000,15400000000,7800000000
"Fuyao Glass Industry Group",15800000000,8000000000,7800000000
"Fidelity National Information (FIS)",43600000000,35900000000,7700000000
"AvalonBay Communities",28300000000,20600000000,7700000000
"Mobileye Global",23000000000,15300000000,7700000000
"Formosa Petrochemical",20700000000,13100000000,7600000000
TopBuild,12900000000,5300000000,7600000000
"Packaging Corp of America",16400000000,8900000000,7500000000
Nucor,41300000000,33900000000,7400000000
"Muyuan Foodstuff",34600000000,27200000000,7400000000
Cummins,39100000000,31800000000,7300000000
Leidos,20100000000,12800000000,7300000000
WSP,19000000000,11700000000,7300000000
Pentair,13900000000,6700000000,7200000000
Lennar,46100000000,39000000000,7100000000
"nVent Electric",13300000000,6200000000,7100000000
Biogen,33600000000,26600000000,7000000000
"Darden Restaurants",18400000000,11400000000,7000000000
McCormick,19900000000,12900000000,7000000000
Snap-on,14700000000,7700000000,7000000000
"Ningxia Baofeng Energy Group",17200000000,10200000000,7000000000
"Dr. Reddy's Laboratories",11600000000,4600000000,7000000000
"ZTO Express (Cayman)",19300000000,12400000000,6900000000
"Bandai Namco Holdings",13200000000,6400000000,6800000000
Carvana,13700000000,7000000000,6700000000
"Skyworks Solutions",15000000000,8300000000,6700000000
"Qinghai Salt Lake Industry",13200000000,6500000000,6700000000
"Reckitt Benckiser Group",41100000000,34600000000,6500000000
"Crown Castle International",44700000000,38200000000,6500000000
"Devon Energy",31400000000,25000000000,6400000000
"Reliance Steel",17100000000,10700000000,6400000000
"Hormel Foods",19900000000,13500000000,6400000000
"Wens Foodstuff Group",19500000000,13100000000,6400000000
"Coal India",34800000000,28500000000,6300000000
"Gold Fields",14500000000,8200000000,6300000000
"Bureau Veritas",13600000000,7300000000,6300000000
"Puig Brands",14800000000,8500000000,6300000000
"Agnico Eagle Mines",35000000000,28800000000,6200000000
"Casey's General Stores",12400000000,6200000000,6200000000
"Iron Mountain",24000000000,17800000000,6200000000
Nidec,27100000000,21000000000,6100000000
McKesson,73400000000,67400000000,6000000000
"Steel Dynamics",21000000000,15000000000,6000000000
NASDAQ,36200000000,30300000000,5900000000
Weyerhaeuser,22700000000,16800000000,5900000000
"Ford Otosan",13100000000,7300000000,5800000000
"Guangdong Haid Group",12000000000,6200000000,5800000000
NMDC,9700000000,3900000000,5800000000
Kellanova,21000000000,15300000000,5700000000
"Dick's Sporting Goods",15900000000,10200000000,5700000000
"Bath & Body Works",11200000000,5500000000,5700000000
"United Therapeutics",12200000000,6500000000,5700000000
Incyte,12800000000,7100000000,5700000000
"Diamondback Energy",35300000000,29700000000,5600000000
"Ryanair Holdings",22700000000,17100000000,5600000000
"Grupo Carso",20400000000,14900000000,5500000000
"Equity Residential",25400000000,19900000000,5500000000
"H World Group",14000000000,8500000000,5500000000
Verbund,27300000000,21900000000,5400000000
"Power Grid of India",35000000000,29600000000,5400000000
Hitachi,86100000000,80800000000,5300000000
"Targa Resources",26100000000,20800000000,5300000000
"Trip.com Group",36200000000,30900000000,5300000000
"Lamb Weston Holdings",12500000000,7200000000,5300000000
"China Resources Beer (Holdings)",15400000000,10100000000,5300000000
Almarai,14600000000,9300000000,5300000000
"GE HealthCare Technologies",37400000000,32200000000,5200000000
"Nitori Holdings",13400000000,8200000000,5200000000
XPO,12800000000,7600000000,5200000000
"Pan Pacific International Holdings",14700000000,9600000000,5100000000
"CBRE Group",28000000000,23000000000,5000000000
"Yunnan Baiyao Group",12900000000,7900000000,5000000000
"John Deere",110500000000,105600000000,4900000000
"Molina Healthcare",20400000000,15500000000,4900000000
"Murphy USA",9200000000,4300000000,4900000000
"Shaanxi Coal Industry",32700000000,27900000000,4800000000
Fujitsu,27900000000,23200000000,4700000000
"Extra Space Storage",32200000000,27500000000,4700000000
"Wuxi Apptec",15100000000,10400000000,4700000000
"Teledyne Technologies",19300000000,14600000000,4700000000
eBay,26000000000,21400000000,4600000000
"Advanced Info Service",17100000000,12500000000,4600000000
"Akamai Technologies",14500000000,9900000000,4600000000
"Mid-america Apartment Communities",16100000000,11500000000,4600000000
"Burlington Stores",12300000000,7700000000,4600000000
"Rolls-Royce Holdings",44700000000,40200000000,4500000000
Brambles,13300000000,8800000000,4500000000
"Hong Kong Exchanges",47800000000,43400000000,4400000000
"Indus Towers",11100000000,6700000000,4400000000
"TFI International",11300000000,6900000000,4400000000
"C.H. Robinson",9800000000,5500000000,4300000000
"Li Auto",24400000000,20200000000,4200000000
"Essex Property Trust",17100000000,12900000000,4200000000
Avantor,17000000000,12800000000,4200000000
AIRBUS,136700000000,132600000000,4100000000
"Chongqing Zhifei Biological Products",11500000000,7400000000,4100000000
"Owens Corning",15300000000,11300000000,4000000000
"Yum China Holdings",15300000000,11300000000,4000000000
"BIM Birlesik Magazalar",9000000000,5000000000,4000000000
"BJ's Wholesale Club",10600000000,6700000000,3900000000
"Ares Management",28300000000,24400000000,3900000000
Ipsen,10900000000,7000000000,3900000000
Oneok,48200000000,44400000000,3800000000
"Digital Realty Trust",46400000000,42600000000,3800000000
"Vestas Wind Systems",28200000000,24400000000,3800000000
Corpay,19600000000,15800000000,3800000000
"Trelleborg Group",9300000000,5600000000,3700000000
CAPITEC,14500000000,10800000000,3700000000
"Ralph Lauren",10700000000,7000000000,3700000000
"Dollar Tree",25600000000,22000000000,3600000000
"CSPC Pharmaceutical Group",10100000000,6500000000,3600000000
Knorr-Bremse,13000000000,9500000000,3500000000
"Hyatt Hotels",15100000000,11700000000,3400000000
D'Ieteren,11400000000,8000000000,3400000000
Henkel,38300000000,35000000000,3300000000
Woolworths,25800000000,22600000000,3200000000
"Zimmer Biomet",24700000000,21500000000,3200000000
"Arca Continental",17300000000,14100000000,3200000000
"Bajaj Holdings & Investment",11000000000,7800000000,3200000000
"Japan Tobacco",50400000000,47300000000,3100000000
Shionogi,12500000000,9400000000,3100000000
"Johnson Controls International",46500000000,43500000000,3000000000
3M,58200000000,55200000000,3000000000
"Genuine Parts",21300000000,18300000000,3000000000
"Chow Tai Fook Jewellery",13900000000,10900000000,3000000000
"Jindal Steel & Power",12400000000,9400000000,3000000000
"United Microelectronics",20500000000,17700000000,2800000000
"Skechers USA",10400000000,7600000000,2800000000
"Nitto Denko",11100000000,8300000000,2800000000
Corning,30300000000,27600000000,2700000000
"DiDi Global",23000000000,20300000000,2700000000
"Sichuan Chuantou Energy",11300000000,8600000000,2700000000
"Tourmaline Oil",17400000000,14800000000,2600000000
"Inner Mongolia Yili ",24800000000,22300000000,2500000000
"Invitation Homes",21700000000,19200000000,2500000000
B3,12200000000,9800000000,2400000000
Carlsberg,18900000000,16600000000,2300000000
"Associated British Foods",25900000000,23700000000,2200000000
"Live Nation Entertainment",22200000000,20000000000,2200000000
"Jacobs Solutions",17100000000,14900000000,2200000000
Prysmian,16800000000,14600000000,2200000000
Metro,12500000000,10300000000,2200000000
"ARC Resources",11300000000,9100000000,2200000000
"Haier Smart Home",37800000000,35700000000,2100000000
"Quest Diagnostics",16000000000,14000000000,2000000000
"Kerry Group",14900000000,12900000000,2000000000
"Schibsted ASA",7400000000,5400000000,2000000000
"Coca-Cola Europacific Partners",34200000000,32300000000,1900000000
Ball,21800000000,19900000000,1900000000
"Coca-Cola HBC",12900000000,11000000000,1900000000
Autoliv,10200000000,8300000000,1900000000
SQM,13500000000,11700000000,1800000000
"Roivant Sciences",9100000000,7300000000,1800000000
"Campbell Soup",13800000000,12100000000,1700000000
Bunzl,13000000000,11400000000,1600000000
KPN,15000000000,13500000000,1500000000
"China Merchants Energy Shipping",10300000000,8800000000,1500000000
"Royal Caribbean Group",36500000000,35200000000,1300000000
"Coles Group",14600000000,13300000000,1300000000
Labcorp,17800000000,16500000000,1300000000
"Jiangxi Zhengbang Technology",3700000000,2500000000,1200000000
"GAIL India",16100000000,15000000000,1100000000
"Toll Brothers",13600000000,12500000000,1100000000
"Samvardhana Motherson International",10500000000,9400000000,1100000000
"Best Buy",15900000000,15000000000,900000000
Essity,18300000000,17400000000,900000000
"Transurban Group",25700000000,24800000000,900000000
AECOM,12200000000,11500000000,700000000
"Gaming And Leisure Properties",12500000000,11800000000,700000000
"L3Harris Technologies",42400000000,41800000000,600000000
Textron,17000000000,16400000000,600000000
Ferrovial,29700000000,29100000000,600000000
"IHH Healthcare",11800000000,11200000000,600000000
Ingredion,7900000000,7300000000,600000000
"China Shenhua Energy",91300000000,90800000000,500000000
"Wanhua Chemical Group",39100000000,38600000000,500000000
"Power Assets Holdings",12800000000,12300000000,500000000
"Host Hotels & Resorts",13000000000,12500000000,500000000
"Telkom Indonesia",18600000000,18200000000,400000000
UPM-Kymmene,20400000000,20000000000,400000000
Swisscom,28700000000,28400000000,300000000
Euronav,4000000000,3700000000,300000000
"US Foods",13600000000,13400000000,200000000
"Coterra Energy ",21000000000,21000000000,0
"CF Industries Holdings",13900000000,13900000000,0
"Tata Power Company",16700000000,16700000000,0
"Commercial Metals",6700000000,6700000000,0
"Otsuka Holding",22700000000,22800000000,-100000000
"Gen Digital",15700000000,15800000000,-100000000
"Rite Aid",7000000000,7100000000,-100000000
"Informa plc",14600000000,14700000000,-100000000
Fluor,6600000000,6700000000,-100000000
Secom,13500000000,13700000000,-200000000
"Daito Trust Construction",6900000000,7100000000,-200000000
"Barry Callebaut",9500000000,9700000000,-200000000
"Cogent Communications",2900000000,3100000000,-200000000
"Western Digital",23500000000,23800000000,-300000000
"Samsung SDS",9000000000,9300000000,-300000000
"Diebold Nixdorf",3600000000,3900000000,-300000000
"Buzzi Unicem",8100000000,8400000000,-300000000
"Henry Schein",9600000000,10100000000,-500000000
"Tata Motors",43800000000,44400000000,-600000000
Brenntag,10900000000,11500000000,-600000000
"Restaurant Brands International",22400000000,23100000000,-700000000
"Westlake Chemical",20300000000,21000000000,-700000000
"Rentokil Initial",13500000000,14200000000,-700000000
"JSW Steel",26600000000,27400000000,-800000000
"ASE Technology Holding",20300000000,21300000000,-1000000000
ItaÃºsa,20700000000,21700000000,-1000000000
Kering,44600000000,45700000000,-1100000000
"Huntington Ingalls Industries",10100000000,11200000000,-1100000000
"CVR Energy",3000000000,4100000000,-1100000000
"Rajesh Exports",1100000000,2300000000,-1200000000
Aptiv,22300000000,23600000000,-1300000000
Tenaris,20200000000,21500000000,-1300000000
"SKF Group",9900000000,11200000000,-1300000000
"Sany Heavy Industry",20000000000,21400000000,-1400000000
Kesko,7400000000,8800000000,-1400000000
"Nippon Paint",17600000000,19100000000,-1500000000
Colruyt,5600000000,7100000000,-1500000000
"News Corp",15000000000,16500000000,-1500000000
"Grupo Comercial Chedraui SAB de CV Class B",7200000000,8700000000,-1500000000
"Galp Energia",16200000000,17800000000,-1600000000
"Performance Food Group",11500000000,13100000000,-1600000000
"Origin Energy",11400000000,13000000000,-1600000000
"SS&C Technologies",15800000000,17400000000,-1600000000
Industrivarden,14700000000,16400000000,-1700000000
"Jeronimo Martins",14000000000,15800000000,-1800000000
"Suntory Beverage & Food",11300000000,13100000000,-1800000000
Neste,15800000000,17700000000,-1900000000
Amcor,14800000000,16700000000,-1900000000
"Randstad N.V.",9800000000,11700000000,-1900000000
Oshkosh,7600000000,9500000000,-1900000000
Inventec,6000000000,7900000000,-1900000000
Saputo,8700000000,10600000000,-1900000000
"Sun Communities",15200000000,17100000000,-1900000000
"Pernod Ricard",40800000000,42800000000,-2000000000
"Chesapeake Energy",12000000000,14000000000,-2000000000
Etisalat,38100000000,40200000000,-2100000000
"Universal Health Services",11900000000,14000000000,-2100000000
"Ultrapar Participacoes",5300000000,7400000000,-2100000000
Mondi,8900000000,11000000000,-2100000000
"Yunnan Yuntianhua",5400000000,7500000000,-2100000000
"Delivery Hero",9800000000,11900000000,-2100000000
"Fannie Mae",1800000000,4000000000,-2200000000
"Smurfit Kappa Group",12400000000,14600000000,-2200000000
"Vipshop Holdings",8000000000,10200000000,-2200000000
"China CSSC Holdings",22200000000,24500000000,-2300000000
"Ningbo Jintian Copper (Group)",1300000000,3600000000,-2300000000
Williams,50300000000,52700000000,-2400000000
"Signet Jewelers",4400000000,6800000000,-2400000000
"Dollar General",31200000000,33700000000,-2500000000
"Taylor Morrison Home",6400000000,8900000000,-2500000000
"Shanxi Lu'an Environmental",9000000000,11600000000,-2600000000
"Cenovus Energy",37900000000,40600000000,-2700000000
"CMOC Group",21900000000,24600000000,-2700000000
Telstra,28400000000,31100000000,-2700000000
Sampo,22100000000,24800000000,-2700000000
"Wynn Resorts",10800000000,13500000000,-2700000000
"Graphic Packaging",8600000000,11300000000,-2700000000
"Yunnan Copper Co. Ltd.",4000000000,6700000000,-2700000000
Sabesp,10500000000,13300000000,-2800000000
"Mitsubishi Electric",37900000000,40800000000,-2900000000
Eastman,11800000000,14700000000,-2900000000
Gap,8100000000,11000000000,-2900000000
"Viva Energy Group",3600000000,6600000000,-3000000000
"Midea Group",65700000000,68900000000,-3200000000
"Jabil Circuit",13900000000,17100000000,-3200000000
"Grupo Bimbo",18700000000,21900000000,-3200000000
"Vedanta Limited",19700000000,22900000000,-3200000000
Sodexo,13700000000,16900000000,-3200000000
BlackRock,120700000000,124000000000,-3300000000
Fiserv,89400000000,92700000000,-3300000000
"GE Vernova",44600000000,47900000000,-3300000000
Tryg,12400000000,15700000000,-3300000000
"ENN Energy Holdings",11100000000,14500000000,-3400000000
LKQ,11900000000,15300000000,-3400000000
"Kawasaki Kisen Kaisha",10500000000,13900000000,-3400000000
"Digital China Group",2800000000,6200000000,-3400000000
APA,11500000000,15000000000,-3500000000
"Akzo Nobel",12000000000,15500000000,-3500000000
"Ampol ",5600000000,9100000000,-3500000000
"Marks & Spencer",7200000000,10700000000,-3500000000
"Manila Electric",7300000000,10800000000,-3500000000
Solvay,3900000000,7500000000,-3600000000
Albemarle,15400000000,19000000000,-3600000000
"Johnson Matthey",4300000000,7900000000,-3600000000
"LyondellBasell Industries",32900000000,36600000000,-3700000000
"Baker Hughes Company",33400000000,37100000000,-3700000000
"Longi Green Energy Technology",19500000000,23300000000,-3800000000
"El Puerto de Liverpool",11500000000,15300000000,-3800000000
"Vibra Energia",5000000000,8800000000,-3800000000
"Asustek Computer",11900000000,15700000000,-3800000000
Aramark,8800000000,12600000000,-3800000000
"Royalty Pharma",12300000000,16100000000,-3800000000
NOV,7500000000,11300000000,-3800000000
WTW,26300000000,30200000000,-3900000000
Solventum,10800000000,14700000000,-3900000000
"LG Innotek Co.,",4200000000,8100000000,-3900000000
Tapestry,9700000000,13700000000,-4000000000
FMC,8000000000,12000000000,-4000000000
"Bluescope Steel",6300000000,10400000000,-4100000000
Kakao,15000000000,19100000000,-4100000000
"Sandoz Group",15200000000,19400000000,-4200000000
"Group 1 Automotive",4300000000,8500000000,-4200000000
"Tongling Nonferrous Metals",7200000000,11400000000,-4200000000
Corteva,39300000000,43600000000,-4300000000
"DuPont De Nemours",33400000000,37700000000,-4300000000
"Pembina Pipeline",20300000000,24600000000,-4300000000
"Shanxi Xishan Coal & Electricity Power Co. Ltd.",8500000000,12800000000,-4300000000
Wistron,10000000000,14400000000,-4400000000
"Thai Beverage",9200000000,13600000000,-4400000000
"W. P. Carey",13200000000,17600000000,-4400000000
"Crown Holdings",10300000000,14700000000,-4400000000
"Rede D'Oro Luiz",13700000000,18200000000,-4500000000
DCC,7400000000,12000000000,-4600000000
Aurubis,3700000000,8300000000,-4600000000
PVH,6600000000,11200000000,-4600000000
"Kyndryl Holdings",6400000000,11000000000,-4600000000
Gallagher,56300000000,61000000000,-4700000000
"Hotai Motor",10800000000,15500000000,-4700000000
Eurazeo,6100000000,10800000000,-4700000000
SingTel,29700000000,34500000000,-4800000000
Manpower,3700000000,8500000000,-4800000000
"Beijing-Shanghai High-Speed Railway",35700000000,40600000000,-4900000000
"Newmont ",50400000000,55300000000,-4900000000
TDK,17700000000,22600000000,-4900000000
"Marathon Oil",14800000000,19700000000,-4900000000
Telenor,16600000000,21500000000,-4900000000
SSAB,5700000000,10600000000,-4900000000
"Sumitomo Forestry Co.,",7800000000,12700000000,-4900000000
Ventas,19800000000,24700000000,-4900000000
Covestro,9900000000,14800000000,-4900000000
"PT Adaro Energy Indonesia",5600000000,10500000000,-4900000000
"Drax Group plc",2800000000,7700000000,-4900000000
"Samsung SDI",21300000000,26300000000,-5000000000
"American Water Works",26100000000,31100000000,-5000000000
"WT Microelectronics",4200000000,9200000000,-5000000000
"International Flavors & Fragrances",25500000000,30600000000,-5100000000
DaVita,12300000000,17400000000,-5100000000
AutoNation,6900000000,12000000000,-5100000000
"Motor Oil",3300000000,8400000000,-5100000000
"Huaibei Mining Holdings",7000000000,12100000000,-5100000000
Femsa,42800000000,48000000000,-5200000000
"Fujifilm Holdings",26400000000,31600000000,-5200000000
Haleon,38200000000,43400000000,-5200000000
"Asbury Automotive Group",4900000000,10100000000,-5200000000
Parkland,5100000000,10300000000,-5200000000
"Open House",3500000000,8700000000,-5200000000
HP,30500000000,35800000000,-5300000000
Thales,37500000000,42800000000,-5300000000
"Interpublic Group",12000000000,17300000000,-5300000000
AGCO,8200000000,13500000000,-5300000000
Towngas,15300000000,20700000000,-5400000000
"Carlyle Group",15500000000,20900000000,-5400000000
"Delek US Holdings",1800000000,7200000000,-5400000000
"Vistra Energy",32700000000,38200000000,-5500000000
"Swatch Group",11400000000,16900000000,-5500000000
"U-Haul Holding",13500000000,19000000000,-5500000000
"Companhia Energetica de Minas Gerais",5800000000,11300000000,-5500000000
"Dai Nippon Printing",7400000000,12900000000,-5500000000
NIO,11100000000,16600000000,-5500000000
BorgWarner,8500000000,14100000000,-5600000000
"Walt Disney",189400000000,195100000000,-5700000000
"Investor AB",79100000000,84800000000,-5700000000
"S.F. Holding",25400000000,31100000000,-5700000000
Naver,20900000000,26600000000,-5700000000
"Penske Automotive",10400000000,16100000000,-5700000000
"Jones Lang LaSalle",9800000000,15500000000,-5700000000
"World Fuel Services",1500000000,7200000000,-5700000000
"CP Axtra",8900000000,14700000000,-5800000000
Suzuken,2300000000,8100000000,-5800000000
"Cholamandalam Investment and Finance",13000000000,18800000000,-5800000000
"Latam Airlines",9000000000,14900000000,-5900000000
Flex,12300000000,18300000000,-6000000000
"WPG Holdings",4600000000,10600000000,-6000000000
"Guangzhou Baiyunshan Pharmaceutical Holdings",4900000000,10900000000,-6000000000
Hanwa,1700000000,7700000000,-6000000000
Teleperformance,7000000000,13000000000,-6000000000
"Atmos Energy",17900000000,24000000000,-6100000000
"WESCO International",9400000000,15500000000,-6100000000
Empire,6300000000,12400000000,-6100000000
Umicore,5100000000,11200000000,-6100000000
"Inner Mongolia Yitai Coal",6200000000,12300000000,-6100000000
"Cheniere Energy",36700000000,42900000000,-6200000000
Rexel,8900000000,15100000000,-6200000000
"Grupo Galicia",6500000000,12700000000,-6200000000
"Hyundai Glovis",5300000000,11500000000,-6200000000
"Hellenic Petroleum",2800000000,9000000000,-6200000000
Fortum,14300000000,20500000000,-6200000000
Segro,15900000000,22100000000,-6200000000
"Redeia Corporacion",9800000000,16000000000,-6200000000
"Essential Utilities",10900000000,17100000000,-6200000000
Organon,5600000000,11900000000,-6300000000
"Sumec Corporation",1500000000,7800000000,-6300000000
Bridgestone,30500000000,36900000000,-6400000000
Fox,15300000000,21700000000,-6400000000
Philips,26400000000,32800000000,-6400000000
"Astellas Pharma",17200000000,23600000000,-6400000000
"Keurig Dr Pepper",45800000000,52300000000,-6500000000
Ovintiv,13300000000,19800000000,-6500000000
"Nan Ya Plastics",13900000000,20400000000,-6500000000
"Healthpeak Properties",14000000000,20500000000,-6500000000
"Ramsay Health Care",7600000000,14100000000,-6500000000
"Kimco Realty",13000000000,19500000000,-6500000000
SSE,25300000000,31900000000,-6600000000
"Adecco Group",6700000000,13300000000,-6600000000
"HF Sinclair",11200000000,17900000000,-6700000000
Adient,2600000000,9300000000,-6700000000
"Qantas Airways",6400000000,13200000000,-6800000000
"Chongqing Changan Auto",19500000000,26400000000,-6900000000
"Insurance Australia Group",10100000000,17000000000,-6900000000
"Ooredoo Q.P.S.C",8700000000,15600000000,-6900000000
"Norsk Hydro",12600000000,19600000000,-7000000000
"Sinotrans Ltd.",4000000000,11000000000,-7000000000
DSM-Firmenich,31000000000,38100000000,-7100000000
Uni-President,14000000000,21100000000,-7100000000
"Alfresa Holdings",2500000000,9600000000,-7100000000
Sharp,3400000000,10500000000,-7100000000
Humana,42900000000,50100000000,-7200000000
"East Money Information  ",28400000000,35600000000,-7200000000
"Conagra Brands",14700000000,21900000000,-7200000000
EQT,18200000000,25400000000,-7200000000
Danone,41800000000,49100000000,-7300000000
"Steel Authority of India",8300000000,15600000000,-7300000000
"Gerdau (Cosigua)",8000000000,15400000000,-7400000000
"CPFL Energia",7700000000,15100000000,-7400000000
"Hydro One",17700000000,25200000000,-7500000000
Avnet,4800000000,12300000000,-7500000000
Lear,7400000000,14900000000,-7500000000
"Formosa Chemicals",10300000000,17800000000,-7500000000
Skanska,7500000000,15000000000,-7500000000
"Tata Steel",25100000000,32700000000,-7600000000
Pegatron,8600000000,16200000000,-7600000000
"PBF Energy",6100000000,13800000000,-7700000000
"China Mengniu Dairy",8500000000,16200000000,-7700000000
"CLP Holdings",21500000000,29300000000,-7800000000
"Jinko Solar",10300000000,18100000000,-7800000000
"Bharat Petroleum",16400000000,24300000000,-7900000000
"Alliant Energy",13300000000,21200000000,-7900000000
"Intact Financial",30100000000,38100000000,-8000000000
"Sime Darby",4200000000,12200000000,-8000000000
"JM Smucker",12200000000,20200000000,-8000000000
"Yara International",7700000000,15700000000,-8000000000
Siemens,148200000000,156300000000,-8100000000
"Sekisui House",14800000000,22900000000,-8100000000
"Aeroports de Paris",13600000000,21700000000,-8100000000
"NRG Energy",17200000000,25400000000,-8200000000
