Name,sales_in_dollars,market_value_in_dollars,Difference
"Reinsurance Group of America",20700000000,14000000000,6700000000
Quinenco,12400000000,5800000000,6600000000
"YPF ",18000000000,11500000000,6500000000
AGC,14000000000,7500000000,6500000000
"Bausch Health Companies",9000000000,2500000000,6500000000
ZTE,17400000000,11100000000,6300000000
"Sunshine Insurance Group",11000000000,4700000000,6300000000
"Canadian Tire Corporation",12200000000,5900000000,6300000000
"Jinko Solar",16500000000,10300000000,6200000000
"Zhongyuan Bank",7900000000,1700000000,6200000000
"Migdal Insurance",7500000000,1300000000,6200000000
Isbank,17600000000,11500000000,6100000000
"Galp Energia",22300000000,16200000000,6100000000
"Evonik Industries",16300000000,10200000000,6100000000
"New World Development",9300000000,3200000000,6100000000
"KION Group",12500000000,6400000000,6100000000
"Beijing Enterprises",10500000000,4500000000,6000000000
Solvay,9900000000,3900000000,6000000000
"Huishang Bank",10200000000,4300000000,5900000000
"Tianshan Material",13800000000,7900000000,5900000000
"Zhuhai Huafa Properties",9000000000,3100000000,5900000000
Commerzbank,25700000000,19900000000,5800000000
WestRock,19500000000,13700000000,5800000000
Cemex,17500000000,11700000000,5800000000
AGCO,14000000000,8200000000,5800000000
"Siam Cement",14100000000,8300000000,5800000000
"Guangzhou Baiyunshan Pharmaceutical Holdings",10700000000,4900000000,5800000000
"CVR Energy",8800000000,3000000000,5800000000
"Samsung Life Insurance",17500000000,11800000000,5700000000
"Hangzhou Binjiang Real Estate Group Co., Ltd.",10100000000,4400000000,5700000000
"Electric Power Development",8700000000,3000000000,5700000000
"Sichuan Road & Bridge",14800000000,9200000000,5600000000
Taisei,12200000000,6600000000,5600000000
"Erste Group Bank",26100000000,20600000000,5500000000
"Norsk Hydro",18100000000,12600000000,5500000000
Uni-President,19400000000,14000000000,5400000000
"Gerdau (Cosigua)",13400000000,8000000000,5400000000
"China Mengniu Dairy",13900000000,8500000000,5400000000
Covestro,15300000000,9900000000,5400000000
"China Gas Holdings",10900000000,5500000000,5400000000
"Anhui Conch Cement",19900000000,14600000000,5300000000
"SK Telecom",13400000000,8100000000,5300000000
Falabella,13100000000,7800000000,5300000000
"Berry Global Group",12200000000,6900000000,5300000000
Kesko,12700000000,7400000000,5300000000
"China Resources Land",35200000000,30000000000,5200000000
NEC,24000000000,18800000000,5200000000
Colruyt,10800000000,5600000000,5200000000
"Bluescope Steel",11500000000,6300000000,5200000000
"Momentum Metropolitan Holdings",6800000000,1600000000,5200000000
"All Nippon Airways",14200000000,9100000000,5100000000
"Osaka Gas",14400000000,9300000000,5100000000
Storebrand,9700000000,4600000000,5100000000
SSAB,10800000000,5700000000,5100000000
"CP Axtra",14000000000,8900000000,5100000000
"Daito Trust Construction",12000000000,6900000000,5100000000
"Dollar Tree",30600000000,25600000000,5000000000
"ENN Energy Holdings",16100000000,11100000000,5000000000
"Sinotruk Hong Kong",12100000000,7100000000,5000000000
"Munich Re",70000000000,65100000000,4900000000
"Hewlett Packard Enterprise",28100000000,23200000000,4900000000
Ericsson,24000000000,19100000000,4900000000
"Cathay Pacific Airways",12100000000,7200000000,4900000000
"China Resources Gas Group",12900000000,8000000000,4900000000
"Open House",8400000000,3500000000,4900000000
"Poste Italiane",22200000000,17400000000,4800000000
"BIM Birlesik Magazalar",13800000000,9000000000,4800000000
"Harel Insurance Investments & Financial Services",6700000000,1900000000,4800000000
"Vienna Insurance Group",13400000000,8700000000,4700000000
"Sumitomo Forestry Co.,",12500000000,7800000000,4700000000
"Steel Authority of India",12900000000,8300000000,4600000000
"China Life Insurance",51600000000,47100000000,4500000000
"CBRE Group",32500000000,28000000000,4500000000
Akbank,14700000000,10200000000,4500000000
"Tokyo Century",9300000000,4800000000,4500000000
"Wuestenrot & Wuerttembergische",5800000000,1300000000,4500000000
"Canara Bank",16800000000,12400000000,4400000000
"China Hongqiao Group",18900000000,14500000000,4400000000
"International Paper",18500000000,14100000000,4400000000
"BNK Financial Group",6400000000,2000000000,4400000000
"Ford Otosan",17300000000,13100000000,4200000000
"DiDi Global",27200000000,23000000000,4200000000
"Helvetia Holding",11700000000,7500000000,4200000000
"Shenzhen Overseas",7600000000,3400000000,4200000000
"JA Solar Technology",10700000000,6500000000,4200000000
"ItaÃº Unibanco Holding",67800000000,63700000000,4100000000
"QBE Insurance Group",21700000000,17600000000,4100000000
"Grupo Bimbo",22800000000,18700000000,4100000000
"Absa Group",11100000000,7000000000,4100000000
"Guangdong Haid Group",16100000000,12000000000,4100000000
"Genworth Financial",7000000000,2900000000,4100000000
Saputo,12800000000,8700000000,4100000000
"Clal Insurance Enterprises ",5400000000,1300000000,4100000000
"Mizuho Financial",55100000000,51100000000,4000000000
"Ally Financial",16200000000,12200000000,4000000000
"Mitsubishi UFJ Lease",13500000000,9500000000,4000000000
"Public Power",8800000000,4800000000,4000000000
HeidelbergCement,22900000000,19000000000,3900000000
"China Cinda Asset Management",7900000000,4000000000,3900000000
Quilter,5800000000,1900000000,3900000000
"Phoenix Holdings",6400000000,2500000000,3900000000
Uniqa,6700000000,2800000000,3900000000
VINCI,75300000000,71500000000,3800000000
"CMOC Group",25700000000,21900000000,3800000000
"MGM Resorts",16700000000,12900000000,3800000000
Tongwei,17400000000,13600000000,3800000000
"Asustek Computer",15700000000,11900000000,3800000000
"Bank of Tianjin",5200000000,1400000000,3800000000
"Japan Airlines",11400000000,7600000000,3800000000
"Toppan Printing",11600000000,7800000000,3800000000
"Yunnan Yuntianhua",9200000000,5400000000,3800000000
"Brookfield Reinsurance",8200000000,4500000000,3700000000
"Caesars Entertainment",11400000000,7700000000,3700000000
"New York Community Bancorp",6700000000,3000000000,3700000000
"Carnival Corporation",22600000000,19000000000,3600000000
Rakuten,14600000000,11000000000,3600000000
"Grupo De Inversiones Suramericana",9700000000,6100000000,3600000000
"Guangzhou Rural Commercial Bank",6100000000,2600000000,3500000000
"Kirin Holdings",15100000000,11700000000,3400000000
"MTN Group",12000000000,8600000000,3400000000
"Cathay Financial",29000000000,25700000000,3300000000
Orpea,5600000000,2300000000,3300000000
Navient,5000000000,1700000000,3300000000
"Tata Steel",28300000000,25100000000,3200000000
Metro,15700000000,12500000000,3200000000
"Latam Airlines",12200000000,9000000000,3200000000
FCC,9800000000,6600000000,3200000000
"Banco Davivienda ",6000000000,2800000000,3200000000
"BÃ¢loise Group",10600000000,7500000000,3100000000
AECOM,15300000000,12200000000,3100000000
TBEA,13200000000,10200000000,3000000000
"The Mosaic Company",12800000000,9800000000,3000000000
"Ramsay Health Care",10600000000,7600000000,3000000000
Kubota,20800000000,17900000000,2900000000
Sanlam,11200000000,8300000000,2900000000
"Huaibei Mining Holdings",9900000000,7000000000,2900000000
"Henry Schein",12500000000,9600000000,2900000000
Ageas,12200000000,9400000000,2800000000
"China Development Financial",10300000000,7500000000,2800000000
"Universal Health Services",14700000000,11900000000,2800000000
"Shin Kong Financial",7100000000,4300000000,2800000000
"Bank of Zhengzhou",3800000000,1000000000,2800000000
"DGB Financial Group",3800000000,1000000000,2800000000
"Signet Jewelers",7200000000,4400000000,2800000000
Cosan,7900000000,5200000000,2700000000
"Mitsubishi Heavy Industries",32200000000,29600000000,2600000000
"Asr Nederland",13700000000,11100000000,2600000000
PVH,9200000000,6600000000,2600000000
AltaGas,9300000000,6700000000,2600000000
"Unum Group",12600000000,10100000000,2500000000
"Dai Nippon Printing",9900000000,7400000000,2500000000
"Deutsche Telekom",121500000000,119100000000,2400000000
"Bank of Beijing",19400000000,17000000000,2400000000
"Grupa PZU",14600000000,12200000000,2400000000
"Zhejiang Zheneng Electric Power",13700000000,11300000000,2400000000
"Samsung Fire & Marine",13900000000,11600000000,2300000000
"BOE Technology Group",25300000000,23000000000,2300000000
Assurant,11400000000,9100000000,2300000000
LKQ,14200000000,11900000000,2300000000
"iA Financial Corporation",8900000000,6600000000,2300000000
Oshkosh,9900000000,7600000000,2300000000
Bancolombia,11300000000,9100000000,2200000000
Viatris,15300000000,13100000000,2200000000
"Casey's General Stores",14600000000,12400000000,2200000000
Dentsu,9200000000,7000000000,2200000000
"Chongqing Rural Bank",7600000000,5500000000,2100000000
Nedbank,8200000000,6100000000,2100000000
"Bank of East Asia",5700000000,3600000000,2100000000
"Far East Horizon",5500000000,3500000000,2000000000
Teleperformance,9000000000,7000000000,2000000000
Dow,43500000000,41600000000,1900000000
"Nippon Yusen",16500000000,14600000000,1900000000
Leonardo,16500000000,14600000000,1900000000
"HAL Trust",13700000000,11800000000,1900000000
"Bank of Chongqing",4300000000,2400000000,1900000000
"Synchrony Financial",19400000000,17600000000,1800000000
"Genuine Parts",23100000000,21300000000,1800000000
"Stanley Black & Decker",15700000000,13900000000,1800000000
"Corebridge Financial",20800000000,19100000000,1700000000
"Bank of Changsha",6500000000,4800000000,1700000000
Bunzl,14700000000,13000000000,1700000000
"Mirae Asset Financial Group",5100000000,3400000000,1700000000
"Commercial Metals",8400000000,6700000000,1700000000
"Cenovus Energy",39500000000,37900000000,1600000000
"Michelin Group",30600000000,29000000000,1600000000
"Union Bank of India",14300000000,12700000000,1600000000
"Bank of Qingdao",3600000000,2000000000,1600000000
"Companhia Energetica de Minas Gerais",7400000000,5800000000,1600000000
Canon,29000000000,27500000000,1500000000
"Formosa Petrochemical",22200000000,20700000000,1500000000
"Huntington Ingalls Industries",11600000000,10100000000,1500000000
"Virgin Money UK",5000000000,3500000000,1500000000
"Crown Holdings",11800000000,10300000000,1500000000
"FIBI Holdings",3000000000,1500000000,1500000000
"Bank of India",8100000000,6700000000,1400000000
"West Japan Railway",11300000000,9900000000,1400000000
"Bank Of Guiyang",4300000000,2900000000,1400000000
"China Huarong Asset Management",5300000000,3900000000,1400000000
"Imperial Brands",22800000000,21500000000,1300000000
"Chongqing Changan Auto",20800000000,19500000000,1300000000
NOV,8800000000,7500000000,1300000000
Nokia,22800000000,21600000000,1200000000
"Live Nation Entertainment",23400000000,22200000000,1200000000
"Equatorial Energia",8200000000,7000000000,1200000000
"Danske Bank",26200000000,25100000000,1100000000
"Saudi Electricity",20700000000,19600000000,1100000000
"Luxshare Precision Industry",32600000000,31500000000,1100000000
"Korea Investment Holdings",4100000000,3000000000,1100000000
"JB Financial Group",3000000000,1900000000,1100000000
"Taylor Morrison Home",7500000000,6400000000,1100000000
"Sumitomo Metal Mining",10000000000,9000000000,1000000000
"Bank of Baroda",17100000000,16200000000,900000000
"BAC Holding International",3800000000,2900000000,900000000
"Samsung SDS",9900000000,9000000000,900000000
"Samvardhana Motherson International",11400000000,10500000000,900000000
"Aareal Bank",3100000000,2200000000,900000000
"Jinshang Bank",1900000000,1000000000,900000000
"Delivery Hero",10700000000,9800000000,900000000
"SBI Holdings",8400000000,7600000000,800000000
"Liberty Global",7600000000,6800000000,800000000
"Bank of Jiujiang",3100000000,2300000000,800000000
"Bank of Guizhou",3500000000,2800000000,700000000
"Bank of Lanzhou",2800000000,2100000000,700000000
"China Power International Development",6200000000,5500000000,700000000
Organon,6300000000,5600000000,700000000
"Graphic Packaging",9200000000,8600000000,600000000
"Inner Mongolia Yitai Coal",6800000000,6200000000,600000000
"Manila Electric",7900000000,7300000000,600000000
Investec,6200000000,5700000000,500000000
"PT Adaro Energy Indonesia",6100000000,5600000000,500000000
"Bank of Queensland",3100000000,2600000000,500000000
"Qingdao Rural Commercial Bank",2700000000,2200000000,500000000
"CPFL Energia",8100000000,7700000000,400000000
Autoliv,10600000000,10200000000,400000000
"Weihai City Commercial Bank",2500000000,2100000000,400000000
"Asahi Group Holdings",19600000000,19300000000,300000000
Kasikornbank,9100000000,8800000000,300000000
"Israel Discount Bank",6500000000,6200000000,300000000
"Alpha Bank",4700000000,4400000000,300000000
"Grupo Elektra",10800000000,10500000000,300000000
"Formosa Chemicals",10600000000,10300000000,300000000
BYD,83200000000,83000000000,200000000
"XCMG Construction Machinery",12900000000,12700000000,200000000
"Halyk Bank",5200000000,5000000000,200000000
"E-L Financial",3000000000,2800000000,200000000
"Diebold Nixdorf",3800000000,3600000000,200000000
Denso,49400000000,49300000000,100000000
"Quanta Computer",34300000000,34200000000,100000000
"Equitable Holdings",13300000000,13200000000,100000000
"Voya Financial",7600000000,7500000000,100000000
Vivendi,11400000000,11300000000,100000000
"China Development Bank Financial Leasing",3700000000,3600000000,100000000
"Brighthouse Financial",2900000000,2800000000,100000000
"Banco de Sabadell",11100000000,11100000000,0
"BPER Banca",8100000000,8100000000,0
"Molson Coors Brewing",12000000000,12000000000,0
"GAIL India",16100000000,16100000000,0
DaVita,12300000000,12300000000,0
"El Puerto de Liverpool",11500000000,11500000000,0
"Banco Comercial Portugues",5800000000,5800000000,0
"Bank of Xi'an",2300000000,2300000000,0
"Samsung Securities",2500000000,2500000000,0
Ingredion,7900000000,7900000000,0
"RWE Group",28000000000,28100000000,-100000000
"China Resources Power",13200000000,13300000000,-100000000
"Bangkok Bank",7200000000,7300000000,-100000000
"Suntory Beverage & Food",11200000000,11300000000,-100000000
"Commercial International Bank",4700000000,4800000000,-100000000
"KBC Group",29800000000,30000000000,-200000000
"Jacobs Solutions",16900000000,17100000000,-200000000
"Smurfit Kappa Group",12200000000,12400000000,-200000000
"Credito Emiliano",3500000000,3700000000,-200000000
"Daishi Hokuetsu Financial Group",1200000000,1400000000,-200000000
"Xiamen Bank",1900000000,2100000000,-200000000
"Bank Of Shanghai",15000000000,15300000000,-300000000
Nutrien,28300000000,28600000000,-300000000
"Qilu Bank",3200000000,3500000000,-300000000
"China Steel",11600000000,11900000000,-300000000
"SKF Group",9600000000,9900000000,-300000000
"Aozora Bank",1500000000,1800000000,-300000000
"Barry Callebaut",9200000000,9500000000,-300000000
"Edp-energias De Portugal",17000000000,17400000000,-400000000
"Swire Pacific",12100000000,12500000000,-400000000
"Inner Mongolia Baotou Steel",9700000000,10100000000,-400000000
"Axis Capital Holdings",5700000000,6100000000,-400000000
Bridgestone,30000000000,30500000000,-500000000
"Mitsui OSK Lines",11300000000,11800000000,-500000000
Prysmian,16300000000,16800000000,-500000000
"Pan Pacific International Holdings",14200000000,14700000000,-500000000
"Akzo Nobel",11500000000,12000000000,-500000000
"Unicaja Banco",3300000000,3800000000,-500000000
"Valley National Bancorp",3500000000,4000000000,-500000000
"Banca MPS",6700000000,7300000000,-600000000
"Vietin Bank",6400000000,7000000000,-600000000
"Jyske Bank",4500000000,5100000000,-600000000
"Hokuhoku Financial Group",1100000000,1700000000,-600000000
"Nishi-nippon Financial Holdings",1200000000,1800000000,-600000000
"Chugin Financial Group,Inc.",1200000000,1800000000,-600000000
"Bank of Cyprus Holdings",1500000000,2100000000,-600000000
"OneMain Holdings",5400000000,6000000000,-600000000
"Bank Of Jiangsu",20600000000,21300000000,-700000000
"Svenska Handelsbanken",17600000000,18300000000,-700000000
"Bank of Suzhou",3300000000,4000000000,-700000000
Femsa,42000000000,42800000000,-800000000
"Krung Thai Bank",5800000000,6600000000,-800000000
"Haier Smart Home",36900000000,37800000000,-900000000
Loews,16300000000,17200000000,-900000000
"Singapore Airlines",14100000000,15000000000,-900000000
"Indian Bank",7800000000,8700000000,-900000000
"Nova Ljubljanska Banka",1600000000,2500000000,-900000000
"Yankuang Energy Group",16800000000,17800000000,-1000000000
"Associated British Foods",24900000000,25900000000,-1000000000
"Meritz Financial Group",10000000000,11000000000,-1000000000
Amcor,13800000000,14800000000,-1000000000
"Origin Energy",10400000000,11400000000,-1000000000
"Hirogin Holdings",1300000000,2300000000,-1000000000
"Arab Bank",2900000000,3900000000,-1000000000
"LIC Housing Finance",3300000000,4300000000,-1000000000
"AVIC Capital",2700000000,3700000000,-1000000000
Mondi,7900000000,8900000000,-1000000000
"Cosco Shipping",24800000000,25900000000,-1100000000
"Interpublic Group",10900000000,12000000000,-1100000000
"Banca Popolare di Sondrio",2900000000,4000000000,-1100000000
"Jiangsu Changshu Rural Commercial Bank",2300000000,3400000000,-1100000000
"Bendigo & Adelaide Bank",3000000000,4100000000,-1100000000
Komatsu,26800000000,28000000000,-1200000000
"Commercial Bank of Qatar ",3400000000,4600000000,-1200000000
"Kyushu Financial Group",1500000000,2700000000,-1200000000
"Yamaguchi Financial",1200000000,2400000000,-1200000000
"Gunma Bank",1400000000,2600000000,-1200000000
"EFG International",2700000000,3900000000,-1200000000
"AmBank Group",1800000000,3000000000,-1200000000
"Daiwa Securities",8900000000,10200000000,-1300000000
"Military Commercial Joint Stock Bank",3500000000,4800000000,-1300000000
"Old Republic International",7500000000,8800000000,-1300000000
"Haitong Securities",5600000000,6900000000,-1300000000
"Ayala Corp",5400000000,6700000000,-1300000000
"Thai Beverage",7900000000,9200000000,-1300000000
"Columbia Bank",3000000000,4300000000,-1300000000
"Iyogin Holdings,Inc.",1300000000,2600000000,-1300000000
"Orient Securities",2600000000,3900000000,-1300000000
"Sumitomo Mitsui Trust",15100000000,16500000000,-1400000000
"Banco BPM",9600000000,11000000000,-1400000000
Fox,13900000000,15300000000,-1400000000
"Chow Tai Fook Jewellery",12500000000,13900000000,-1400000000
Telia,8500000000,9900000000,-1400000000
"NH Investment & Securities",1900000000,3300000000,-1400000000
"Mitsubishi Electric",36400000000,37900000000,-1500000000
"Bank Of Hangzhou",9900000000,11400000000,-1500000000
"Piraeus Financial Holdings",3700000000,5200000000,-1500000000
"BCI-Banco Credito",5200000000,6700000000,-1500000000
"Rithm Capital",4000000000,5500000000,-1500000000
SLM,3100000000,4600000000,-1500000000
"General Insurance Corporation Of India",5700000000,7200000000,-1500000000
"Naturgy Energy Group",24500000000,26100000000,-1600000000
"East Japan Railway",18900000000,20500000000,-1600000000
"Jefferies Financial ",8400000000,10000000000,-1600000000
HMM,6600000000,8200000000,-1600000000
"Zhejiang Expressway Co. Ltd.",2400000000,4000000000,-1600000000
"Asia Commercial Bank",2700000000,4300000000,-1600000000
"Everbright Securities",1900000000,3500000000,-1600000000
"Var Energi ASA",6700000000,8300000000,-1600000000
"Federal Bank",3200000000,4800000000,-1600000000
"Everest Re Group",15400000000,17100000000,-1700000000
"Punjab National Bank",14800000000,16500000000,-1700000000
"Fidelity National Financial",12600000000,14300000000,-1700000000
"ASE Technology Holding",18600000000,20300000000,-1700000000
"Hong Leong Financial",2500000000,4200000000,-1700000000
"Insurance Australia Group",8400000000,10100000000,-1700000000
"Shanxi Xishan Coal & Electricity Power Co. Ltd.",6800000000,8500000000,-1700000000
"UMB Financial",2500000000,4200000000,-1700000000
"NatWest Group",33700000000,35500000000,-1800000000
"OTP Bank",11800000000,13600000000,-1800000000
"Bawag Group",3300000000,5100000000,-1800000000
"Zions Bancorp",4800000000,6600000000,-1800000000
"Hachijuni Bank",1400000000,3200000000,-1800000000
"Cogent Communications",1100000000,2900000000,-1800000000
"Volvo Group",52100000000,54000000000,-1900000000
Fujitsu,26000000000,27900000000,-1900000000
"Coca-Cola HBC",11000000000,12900000000,-1900000000
"Hotai Motor",8900000000,10800000000,-1900000000
"Shenwan Hongyuan Group",3300000000,5200000000,-1900000000
"TMBThanachart Bank",2800000000,4700000000,-1900000000
"St. Galler Kantonalbank",1100000000,3000000000,-1900000000
"Bank Leumi",9900000000,11900000000,-2000000000
"Bank of Ireland",9700000000,11700000000,-2000000000
"Expedia Group",13100000000,15100000000,-2000000000
"China International Capital",5000000000,7000000000,-2000000000
"Mebuki Financial Group",1900000000,3900000000,-2000000000
"Suncorp Group",11800000000,13900000000,-2100000000
Comerica,5200000000,7300000000,-2100000000
"Metropolitan Bank & Trust",3400000000,5500000000,-2100000000
"RHB Bank",3000000000,5100000000,-2100000000
"Skechers USA",8300000000,10400000000,-2100000000
"Central Bank of India",4300000000,6400000000,-2100000000
"Saudi Investment Bank",2300000000,4400000000,-2100000000
"Vietnam Prosperity Joint-sock Commercial Bank",3900000000,6000000000,-2100000000
Aptiv,20100000000,22300000000,-2200000000
"China Longyuan Power",5200000000,7400000000,-2200000000
"Stora Enso",9600000000,11800000000,-2200000000
"Shandong Gold Mining",8400000000,10600000000,-2200000000
"Jackson Financial",3600000000,5900000000,-2300000000
"Vedanta Limited",17400000000,19700000000,-2300000000
"Eurobank Ergasias",6100000000,8400000000,-2300000000
"Dongguan Rural Commercial Bank",3700000000,6000000000,-2300000000
"Banca Transilvania",2900000000,5200000000,-2300000000
"Ooredoo Q.P.S.C",6400000000,8700000000,-2300000000
"Steel Dynamics",18600000000,21000000000,-2400000000
"Bank Of Chengdu",6100000000,8500000000,-2400000000
"Csc Financial",4500000000,6900000000,-2400000000
"Globe Life",5500000000,7900000000,-2400000000
"Fukuoka Financial Group",2800000000,5200000000,-2400000000
Synovus,3500000000,5900000000,-2400000000
"Taiwan Business Bank",2000000000,4400000000,-2400000000
"Luzerner Kantonalbank",1400000000,3800000000,-2400000000
AT&T,122300000000,124800000000,-2500000000
"Bank Hapoalim",9400000000,11900000000,-2500000000
"Mizrahi Tefahot Bank",6800000000,9300000000,-2500000000
"Teva Pharmaceutical",16000000000,18500000000,-2500000000
Bankinter,5000000000,7500000000,-2500000000
"China Galaxy Securities",4200000000,6700000000,-2500000000
Carvana,11200000000,13700000000,-2500000000
"Wintrust Financial",3800000000,6300000000,-2500000000
"Bank of Nanjing",11400000000,14000000000,-2600000000
"RenaissanceRe Holdings",9500000000,12100000000,-2600000000
AES,12500000000,15100000000,-2600000000
"Conagra Brands",12100000000,14700000000,-2600000000
"Reliance Steel",14500000000,17100000000,-2600000000
"Swatch Group",8800000000,11400000000,-2600000000
Solventum,8200000000,10800000000,-2600000000
"Western Alliance Bancorp.",4600000000,7200000000,-2600000000
Popular,4000000000,6600000000,-2600000000
"Burlington Stores",9700000000,12300000000,-2600000000
"Nexi S.p.A.",6400000000,9000000000,-2600000000
Ovintiv,10600000000,13300000000,-2700000000
Eastman,9100000000,11800000000,-2700000000
F.N.B.,2400000000,5100000000,-2700000000
"Bank of Maharashtra",2800000000,5500000000,-2700000000
D'Ieteren,8600000000,11400000000,-2800000000
"Dick's Sporting Goods",13000000000,15900000000,-2900000000
"JDE Peet's",8900000000,11800000000,-2900000000
"Cadence Bank",2500000000,5400000000,-2900000000
"BOK Financial",3300000000,6200000000,-2900000000
"Bank Muscat",2200000000,5100000000,-2900000000
"MBH Bank Plc.",3900000000,6800000000,-2900000000
Euronav,1100000000,4000000000,-2900000000
"Longi Green Energy Technology",16500000000,19500000000,-3000000000
Kyocera,13900000000,16900000000,-3000000000
"Old National Bank",2600000000,5600000000,-3000000000
Tapestry,6700000000,9700000000,-3000000000
"Air Lease ",2500000000,5500000000,-3000000000
"Fubon Financial",27000000000,30100000000,-3100000000
"Toyota Industries",26500000000,29600000000,-3100000000
"Baxter International",14900000000,18000000000,-3100000000
"Commercial Bank Dubai",2200000000,5300000000,-3100000000
"Banque Centrale Populaire",2900000000,6000000000,-3100000000
"Capital One",51000000000,54200000000,-3200000000
TDK,14500000000,17700000000,-3200000000
Textron,13800000000,17000000000,-3200000000
"Bank OZK",2400000000,5600000000,-3200000000
"Stifel Financial",5300000000,8500000000,-3200000000
Banorte,27000000000,30300000000,-3300000000
"Shanghai Rural Commercial Bank",7000000000,10300000000,-3300000000
Essity,15000000000,18300000000,-3300000000
"Builders FirstSource",17100000000,20400000000,-3300000000
APA,8200000000,11500000000,-3300000000
"American Financial Group",7900000000,11200000000,-3300000000
"Shizuoka Financial Group",2300000000,5600000000,-3300000000
NIO,7800000000,11100000000,-3300000000
"Canadian Imperial Bank",42900000000,46300000000,-3400000000
"Toll Brothers",10200000000,13600000000,-3400000000
"Chang Hwa Bank",2800000000,6200000000,-3400000000
"Buzzi Unicem",4700000000,8100000000,-3400000000
"Qatar National Bank",32000000000,35500000000,-3500000000
"GF Securities",4900000000,8500000000,-3600000000
"Pinnacle Financial Partners",2800000000,6400000000,-3600000000
"China Merchants Securities",4300000000,8000000000,-3700000000
Keppel,5200000000,8900000000,-3700000000
"Taishin Financial Holdings",3600000000,7300000000,-3700000000
Eurazeo,2400000000,6100000000,-3700000000
"Enstar Group",1000000000,4700000000,-3700000000
"Gree Electric Appliances",28400000000,32200000000,-3800000000
"Commercial Bank For Investment & Development Of Vietnam",7300000000,11100000000,-3800000000
"SCB X Public Company ",6100000000,9900000000,-3800000000
"Bath & Body Works",7400000000,11200000000,-3800000000
"Wynn Resorts",7000000000,10800000000,-3800000000
"Kawasaki Kisen Kaisha",6700000000,10500000000,-3800000000
"TFI International",7500000000,11300000000,-3800000000
KeyCorp,10600000000,14500000000,-3900000000
"Omnicom Group",14900000000,18800000000,-3900000000
"First Horizon",4900000000,8800000000,-3900000000
"Webster Financial",4100000000,8000000000,-3900000000
"Vietnam Technological & Commercial Joint Stock Bank",3000000000,6900000000,-3900000000
"Shanghai Commercial & Savings Bank",3000000000,6900000000,-3900000000
"South State",2300000000,6200000000,-3900000000
FMC,4100000000,8000000000,-3900000000
"Shanxi Lu'an Environmental",5100000000,9000000000,-3900000000
Inpex,15100000000,19100000000,-4000000000
"Huatai Securities",7500000000,11500000000,-4000000000
"Tenaga Nasional",11600000000,15600000000,-4000000000
"Guotai Junan Securities",6300000000,10300000000,-4000000000
"Rede D'Oro Luiz",9700000000,13700000000,-4000000000
